tag	name	text	class	description	position (top-left x&y)	size (w&h)
menu	View	View			(153, 64)	(50, 21)
menu	Insert	Insert			(203, 64)	(56, 21)
menu	Format	Format			(259, 64)	(66, 21)
menu	Tools	Tools			(325, 64)	(53, 21)
menu	Window	Window			(378, 64)	(73, 21)
menu	Help	Help			(451, 64)	(48, 21)
scroll-bar	Vertical scroll bar	""			(1849, 147)	(12, 850)
scroll-bar	Horizontal scroll bar	""			(70, 997)	(1774, 12)
document-spreadsheet	file:///home/user/OrderId_Month_Chart.xlsx - LibreOffice Spreadsheets	""			(111, 162)	(1738, 835)
table-cell	A1	""			(111, 162)	(90, 21)
table-cell	B1	Order ID			(201, 162)	(90, 21)
table-cell	C1	Jan			(291, 162)	(90, 21)
table-cell	D1	Feb			(381, 162)	(90, 21)
table-cell	E1	Mar			(471, 162)	(90, 21)
table-cell	F1	Chart			(561, 162)	(90, 21)
table-cell	G1	""			(651, 162)	(90, 21)
table-cell	H1	""			(741, 162)	(90, 21)
table-cell	I1	""			(831, 162)	(90, 21)
table-cell	J1	""			(921, 162)	(90, 21)
table-cell	K1	""			(1011, 162)	(90, 21)
table-cell	L1	""			(1101, 162)	(90, 21)
table-cell	M1	""			(1191, 162)	(90, 21)
table-cell	N1	""			(1281, 162)	(90, 21)
table-cell	O1	""			(1371, 162)	(90, 21)
table-cell	P1	""			(1461, 162)	(90, 21)
table-cell	Q1	""			(1551, 162)	(90, 21)
table-cell	R1	""			(1641, 162)	(90, 21)
table-cell	S1	""			(1731, 162)	(90, 21)
table-cell	T1	""			(1821, 162)	(28, 21)
table-cell	A2	""			(111, 183)	(90, 21)
table-cell	B2	Benedict Cucumberbatch			(201, 183)	(90, 21)
table-cell	C2	391			(291, 183)	(90, 21)
table-cell	D2	304			(381, 183)	(90, 21)
table-cell	E2	885			(471, 183)	(90, 21)
table-cell	F2	""			(561, 183)	(90, 21)
table-cell	G2	""			(651, 183)	(90, 21)
table-cell	H2	""			(741, 183)	(90, 21)
table-cell	I2	""			(831, 183)	(90, 21)
table-cell	J2	""			(921, 183)	(90, 21)
table-cell	K2	""			(1011, 183)	(90, 21)
table-cell	L2	""			(1101, 183)	(90, 21)
table-cell	M2	""			(1191, 183)	(90, 21)
table-cell	N2	""			(1281, 183)	(90, 21)
table-cell	O2	""			(1371, 183)	(90, 21)
table-cell	P2	""			(1461, 183)	(90, 21)
table-cell	Q2	""			(1551, 183)	(90, 21)
table-cell	R2	""			(1641, 183)	(90, 21)
table-cell	S2	""			(1731, 183)	(90, 21)
table-cell	T2	""			(1821, 183)	(28, 21)
table-cell	A3	""			(111, 204)	(90, 21)
table-cell	B3	Blake Dreary			(201, 204)	(90, 21)
table-cell	C3	582			(291, 204)	(90, 21)
table-cell	D3	980			(381, 204)	(90, 21)
table-cell	E3	50			(471, 204)	(90, 21)
table-cell	F3	""			(561, 204)	(90, 21)
table-cell	G3	""			(651, 204)	(90, 21)
table-cell	H3	""			(741, 204)	(90, 21)
table-cell	I3	""			(831, 204)	(90, 21)
table-cell	J3	""			(921, 204)	(90, 21)
table-cell	K3	""			(1011, 204)	(90, 21)
table-cell	L3	""			(1101, 204)	(90, 21)
table-cell	M3	""			(1191, 204)	(90, 21)
table-cell	N3	""			(1281, 204)	(90, 21)
table-cell	O3	""			(1371, 204)	(90, 21)
table-cell	P3	""			(1461, 204)	(90, 21)
table-cell	Q3	""			(1551, 204)	(90, 21)
table-cell	R3	""			(1641, 204)	(90, 21)
table-cell	S3	""			(1731, 204)	(90, 21)
table-cell	T3	""			(1821, 204)	(28, 21)
table-cell	A4	""			(111, 225)	(90, 21)
table-cell	B4	Bey Twice			(201, 225)	(90, 21)
table-cell	C4	268			(291, 225)	(90, 21)
table-cell	D4	224			(381, 225)	(90, 21)
table-cell	E4	739			(471, 225)	(90, 21)
table-cell	F4	""			(561, 225)	(90, 21)
table-cell	G4	""			(651, 225)	(90, 21)
table-cell	H4	""			(741, 225)	(90, 21)
table-cell	I4	""			(831, 225)	(90, 21)
table-cell	J4	""			(921, 225)	(90, 21)
table-cell	K4	""			(1011, 225)	(90, 21)
table-cell	L4	""			(1101, 225)	(90, 21)
table-cell	M4	""			(1191, 225)	(90, 21)
table-cell	N4	""			(1281, 225)	(90, 21)
table-cell	O4	""			(1371, 225)	(90, 21)
table-cell	P4	""			(1461, 225)	(90, 21)
table-cell	Q4	""			(1551, 225)	(90, 21)
table-cell	R4	""			(1641, 225)	(90, 21)
table-cell	S4	""			(1731, 225)	(90, 21)
table-cell	T4	""			(1821, 225)	(28, 21)
table-cell	A5	""			(111, 246)	(90, 21)
table-cell	B5	Arnold Shawama			(201, 246)	(90, 21)
table-cell	C5	392			(291, 246)	(90, 21)
table-cell	D5	535			(381, 246)	(90, 21)
table-cell	E5	170			(471, 246)	(90, 21)
table-cell	F5	""			(561, 246)	(90, 21)
table-cell	G5	""			(651, 246)	(90, 21)
table-cell	H5	""			(741, 246)	(90, 21)
table-cell	I5	""			(831, 246)	(90, 21)
table-cell	J5	""			(921, 246)	(90, 21)
table-cell	K5	""			(1011, 246)	(90, 21)
table-cell	L5	""			(1101, 246)	(90, 21)
table-cell	M5	""			(1191, 246)	(90, 21)
table-cell	N5	""			(1281, 246)	(90, 21)
table-cell	O5	""			(1371, 246)	(90, 21)
table-cell	P5	""			(1461, 246)	(90, 21)
table-cell	Q5	""			(1551, 246)	(90, 21)
table-cell	R5	""			(1641, 246)	(90, 21)
table-cell	S5	""			(1731, 246)	(90, 21)
table-cell	T5	""			(1821, 246)	(28, 21)
table-cell	A6	""			(111, 267)	(90, 21)
table-cell	B6	Clint Eastwood			(201, 267)	(90, 21)
table-cell	C6	172			(291, 267)	(90, 21)
table-cell	D6	814			(381, 267)	(90, 21)
table-cell	E6	360			(471, 267)	(90, 21)
table-cell	F6	""			(561, 267)	(90, 21)
table-cell	G6	""			(651, 267)	(90, 21)
table-cell	H6	""			(741, 267)	(90, 21)
table-cell	I6	""			(831, 267)	(90, 21)
table-cell	J6	""			(921, 267)	(90, 21)
table-cell	K6	""			(1011, 267)	(90, 21)
table-cell	L6	""			(1101, 267)	(90, 21)
table-cell	M6	""			(1191, 267)	(90, 21)
table-cell	N6	""			(1281, 267)	(90, 21)
table-cell	O6	""			(1371, 267)	(90, 21)
table-cell	P6	""			(1461, 267)	(90, 21)
table-cell	Q6	""			(1551, 267)	(90, 21)
table-cell	R6	""			(1641, 267)	(90, 21)
table-cell	S6	""			(1731, 267)	(90, 21)
table-cell	T6	""			(1821, 267)	(28, 21)
table-cell	A7	""			(111, 288)	(90, 21)
table-cell	B7	Olivia Calme			(201, 288)	(90, 21)
table-cell	C7	584			(291, 288)	(90, 21)
table-cell	D7	419			(381, 288)	(90, 21)
table-cell	E7	476			(471, 288)	(90, 21)
table-cell	F7	""			(561, 288)	(90, 21)
table-cell	G7	""			(651, 288)	(90, 21)
table-cell	H7	""			(741, 288)	(90, 21)
table-cell	I7	""			(831, 288)	(90, 21)
table-cell	J7	""			(921, 288)	(90, 21)
table-cell	K7	""			(1011, 288)	(90, 21)
table-cell	L7	""			(1101, 288)	(90, 21)
table-cell	M7	""			(1191, 288)	(90, 21)
table-cell	N7	""			(1281, 288)	(90, 21)
table-cell	O7	""			(1371, 288)	(90, 21)
table-cell	P7	""			(1461, 288)	(90, 21)
table-cell	Q7	""			(1551, 288)	(90, 21)
table-cell	R7	""			(1641, 288)	(90, 21)
table-cell	S7	""			(1731, 288)	(90, 21)
table-cell	T7	""			(1821, 288)	(28, 21)
table-cell	A8	""			(111, 309)	(90, 21)
table-cell	B8	Parah Salin			(201, 309)	(90, 21)
table-cell	C8	679			(291, 309)	(90, 21)
table-cell	D8	345			(381, 309)	(90, 21)
table-cell	E8	756			(471, 309)	(90, 21)
table-cell	F8	""			(561, 309)	(90, 21)
table-cell	G8	""			(651, 309)	(90, 21)
table-cell	H8	""			(741, 309)	(90, 21)
table-cell	I8	""			(831, 309)	(90, 21)
table-cell	J8	""			(921, 309)	(90, 21)
table-cell	K8	""			(1011, 309)	(90, 21)
table-cell	L8	""			(1101, 309)	(90, 21)
table-cell	M8	""			(1191, 309)	(90, 21)
table-cell	N8	""			(1281, 309)	(90, 21)
table-cell	O8	""			(1371, 309)	(90, 21)
table-cell	P8	""			(1461, 309)	(90, 21)
table-cell	Q8	""			(1551, 309)	(90, 21)
table-cell	R8	""			(1641, 309)	(90, 21)
table-cell	S8	""			(1731, 309)	(90, 21)
table-cell	T8	""			(1821, 309)	(28, 21)
table-cell	A9	""			(111, 330)	(90, 21)
table-cell	B9	Elijah Plastic			(201, 330)	(90, 21)
table-cell	C9	870			(291, 330)	(90, 21)
table-cell	D9	843			(381, 330)	(90, 21)
table-cell	E9	282			(471, 330)	(90, 21)
table-cell	F9	""			(561, 330)	(90, 21)
table-cell	G9	""			(651, 330)	(90, 21)
table-cell	H9	""			(741, 330)	(90, 21)
table-cell	I9	""			(831, 330)	(90, 21)
table-cell	J9	""			(921, 330)	(90, 21)
table-cell	K9	""			(1011, 330)	(90, 21)
table-cell	L9	""			(1101, 330)	(90, 21)
table-cell	M9	""			(1191, 330)	(90, 21)
table-cell	N9	""			(1281, 330)	(90, 21)
table-cell	O9	""			(1371, 330)	(90, 21)
table-cell	P9	""			(1461, 330)	(90, 21)
table-cell	Q9	""			(1551, 330)	(90, 21)
table-cell	R9	""			(1641, 330)	(90, 21)
table-cell	S9	""			(1731, 330)	(90, 21)
table-cell	T9	""			(1821, 330)	(28, 21)
table-cell	A10	""			(111, 351)	(90, 21)
table-cell	B10	Tom Softy			(201, 351)	(90, 21)
table-cell	C10	817			(291, 351)	(90, 21)
table-cell	D10	466			(381, 351)	(90, 21)
table-cell	E10	255			(471, 351)	(90, 21)
table-cell	F10	""			(561, 351)	(90, 21)
table-cell	G10	""			(651, 351)	(90, 21)
table-cell	H10	""			(741, 351)	(90, 21)
table-cell	I10	""			(831, 351)	(90, 21)
table-cell	J10	""			(921, 351)	(90, 21)
table-cell	K10	""			(1011, 351)	(90, 21)
table-cell	L10	""			(1101, 351)	(90, 21)
table-cell	M10	""			(1191, 351)	(90, 21)
table-cell	N10	""			(1281, 351)	(90, 21)
table-cell	O10	""			(1371, 351)	(90, 21)
table-cell	P10	""			(1461, 351)	(90, 21)
table-cell	Q10	""			(1551, 351)	(90, 21)
table-cell	R10	""			(1641, 351)	(90, 21)
table-cell	S10	""			(1731, 351)	(90, 21)
table-cell	T10	""			(1821, 351)	(28, 21)
table-cell	A11	""			(111, 372)	(90, 21)
table-cell	B11	John Badman			(201, 372)	(90, 21)
table-cell	C11	216			(291, 372)	(90, 21)
table-cell	D11	285			(381, 372)	(90, 21)
table-cell	E11	152			(471, 372)	(90, 21)
table-cell	F11	""			(561, 372)	(90, 21)
table-cell	G11	""			(651, 372)	(90, 21)
table-cell	H11	""			(741, 372)	(90, 21)
table-cell	I11	""			(831, 372)	(90, 21)
table-cell	J11	""			(921, 372)	(90, 21)
table-cell	K11	""			(1011, 372)	(90, 21)
table-cell	L11	""			(1101, 372)	(90, 21)
table-cell	M11	""			(1191, 372)	(90, 21)
table-cell	N11	""			(1281, 372)	(90, 21)
table-cell	O11	""			(1371, 372)	(90, 21)
table-cell	P11	""			(1461, 372)	(90, 21)
table-cell	Q11	""			(1551, 372)	(90, 21)
table-cell	R11	""			(1641, 372)	(90, 21)
table-cell	S11	""			(1731, 372)	(90, 21)
table-cell	T11	""			(1821, 372)	(28, 21)
table-cell	A12	""			(111, 393)	(90, 21)
table-cell	B12	Kanye East			(201, 393)	(90, 21)
table-cell	C12	783			(291, 393)	(90, 21)
table-cell	D12	867			(381, 393)	(90, 21)
table-cell	E12	130			(471, 393)	(90, 21)
table-cell	F12	""			(561, 393)	(90, 21)
table-cell	G12	""			(651, 393)	(90, 21)
table-cell	H12	""			(741, 393)	(90, 21)
table-cell	I12	""			(831, 393)	(90, 21)
table-cell	J12	""			(921, 393)	(90, 21)
table-cell	K12	""			(1011, 393)	(90, 21)
table-cell	L12	""			(1101, 393)	(90, 21)
table-cell	M12	""			(1191, 393)	(90, 21)
table-cell	N12	""			(1281, 393)	(90, 21)
table-cell	O12	""			(1371, 393)	(90, 21)
table-cell	P12	""			(1461, 393)	(90, 21)
table-cell	Q12	""			(1551, 393)	(90, 21)
table-cell	R12	""			(1641, 393)	(90, 21)
table-cell	S12	""			(1731, 393)	(90, 21)
table-cell	T12	""			(1821, 393)	(28, 21)
table-cell	A13	""			(111, 414)	(90, 21)
table-cell	B13	Reese Withoutaspoon			(201, 414)	(90, 21)
table-cell	C13	632			(291, 414)	(90, 21)
table-cell	D13	295			(381, 414)	(90, 21)
table-cell	E13	819			(471, 414)	(90, 21)
table-cell	F13	""			(561, 414)	(90, 21)
table-cell	G13	""			(651, 414)	(90, 21)
table-cell	H13	""			(741, 414)	(90, 21)
table-cell	I13	""			(831, 414)	(90, 21)
table-cell	J13	""			(921, 414)	(90, 21)
table-cell	K13	""			(1011, 414)	(90, 21)
table-cell	L13	""			(1101, 414)	(90, 21)
table-cell	M13	""			(1191, 414)	(90, 21)
table-cell	N13	""			(1281, 414)	(90, 21)
table-cell	O13	""			(1371, 414)	(90, 21)
table-cell	P13	""			(1461, 414)	(90, 21)
table-cell	Q13	""			(1551, 414)	(90, 21)
table-cell	R13	""			(1641, 414)	(90, 21)
table-cell	S13	""			(1731, 414)	(90, 21)
table-cell	T13	""			(1821, 414)	(28, 21)
table-cell	A14	""			(111, 435)	(90, 21)
table-cell	B14	Swan Ronson			(201, 435)	(90, 21)
table-cell	C14	242			(291, 435)	(90, 21)
table-cell	D14	747			(381, 435)	(90, 21)
table-cell	E14	579			(471, 435)	(90, 21)
table-cell	F14	""			(561, 435)	(90, 21)
table-cell	G14	""			(651, 435)	(90, 21)
table-cell	H14	""			(741, 435)	(90, 21)
table-cell	I14	""			(831, 435)	(90, 21)
table-cell	J14	""			(921, 435)	(90, 21)
table-cell	K14	""			(1011, 435)	(90, 21)
table-cell	L14	""			(1101, 435)	(90, 21)
table-cell	M14	""			(1191, 435)	(90, 21)
table-cell	N14	""			(1281, 435)	(90, 21)
table-cell	O14	""			(1371, 435)	(90, 21)
table-cell	P14	""			(1461, 435)	(90, 21)
table-cell	Q14	""			(1551, 435)	(90, 21)
table-cell	R14	""			(1641, 435)	(90, 21)
table-cell	S14	""			(1731, 435)	(90, 21)
table-cell	T14	""			(1821, 435)	(28, 21)
table-cell	A15	""			(111, 456)	(90, 21)
table-cell	B15	50 Dollar Dollar			(201, 456)	(90, 21)
table-cell	C15	802			(291, 456)	(90, 21)
table-cell	D15	730			(381, 456)	(90, 21)
table-cell	E15	278			(471, 456)	(90, 21)
table-cell	F15	""			(561, 456)	(90, 21)
table-cell	G15	""			(651, 456)	(90, 21)
table-cell	H15	""			(741, 456)	(90, 21)
table-cell	I15	""			(831, 456)	(90, 21)
table-cell	J15	""			(921, 456)	(90, 21)
table-cell	K15	""			(1011, 456)	(90, 21)
table-cell	L15	""			(1101, 456)	(90, 21)
table-cell	M15	""			(1191, 456)	(90, 21)
table-cell	N15	""			(1281, 456)	(90, 21)
table-cell	O15	""			(1371, 456)	(90, 21)
table-cell	P15	""			(1461, 456)	(90, 21)
table-cell	Q15	""			(1551, 456)	(90, 21)
table-cell	R15	""			(1641, 456)	(90, 21)
table-cell	S15	""			(1731, 456)	(90, 21)
table-cell	T15	""			(1821, 456)	(28, 21)
table-cell	A16	""			(111, 477)	(90, 21)
table-cell	B16	Jonah Mountain			(201, 477)	(90, 21)
table-cell	C16	588			(291, 477)	(90, 21)
table-cell	D16	507			(381, 477)	(90, 21)
table-cell	E16	861			(471, 477)	(90, 21)
table-cell	F16	""			(561, 477)	(90, 21)
table-cell	G16	""			(651, 477)	(90, 21)
table-cell	H16	""			(741, 477)	(90, 21)
table-cell	I16	""			(831, 477)	(90, 21)
table-cell	J16	""			(921, 477)	(90, 21)
table-cell	K16	""			(1011, 477)	(90, 21)
table-cell	L16	""			(1101, 477)	(90, 21)
table-cell	M16	""			(1191, 477)	(90, 21)
table-cell	N16	""			(1281, 477)	(90, 21)
table-cell	O16	""			(1371, 477)	(90, 21)
table-cell	P16	""			(1461, 477)	(90, 21)
table-cell	Q16	""			(1551, 477)	(90, 21)
table-cell	R16	""			(1641, 477)	(90, 21)
table-cell	S16	""			(1731, 477)	(90, 21)
table-cell	T16	""			(1821, 477)	(28, 21)
table-cell	A17	""			(111, 498)	(90, 21)
table-cell	B17	Jeff Tunnels			(201, 498)	(90, 21)
table-cell	C17	625			(291, 498)	(90, 21)
table-cell	D17	205			(381, 498)	(90, 21)
table-cell	E17	761			(471, 498)	(90, 21)
table-cell	F17	""			(561, 498)	(90, 21)
table-cell	G17	""			(651, 498)	(90, 21)
table-cell	H17	""			(741, 498)	(90, 21)
table-cell	I17	""			(831, 498)	(90, 21)
table-cell	J17	""			(921, 498)	(90, 21)
table-cell	K17	""			(1011, 498)	(90, 21)
table-cell	L17	""			(1101, 498)	(90, 21)
table-cell	M17	""			(1191, 498)	(90, 21)
table-cell	N17	""			(1281, 498)	(90, 21)
table-cell	O17	""			(1371, 498)	(90, 21)
table-cell	P17	""			(1461, 498)	(90, 21)
table-cell	Q17	""			(1551, 498)	(90, 21)
table-cell	R17	""			(1641, 498)	(90, 21)
table-cell	S17	""			(1731, 498)	(90, 21)
table-cell	T17	""			(1821, 498)	(28, 21)
table-cell	A18	""			(111, 519)	(90, 21)
table-cell	B18	Keira Daily			(201, 519)	(90, 21)
table-cell	C18	202			(291, 519)	(90, 21)
table-cell	D18	438			(381, 519)	(90, 21)
table-cell	E18	604			(471, 519)	(90, 21)
table-cell	F18	""			(561, 519)	(90, 21)
table-cell	G18	""			(651, 519)	(90, 21)
table-cell	H18	""			(741, 519)	(90, 21)
table-cell	I18	""			(831, 519)	(90, 21)
table-cell	J18	""			(921, 519)	(90, 21)
table-cell	K18	""			(1011, 519)	(90, 21)
table-cell	L18	""			(1101, 519)	(90, 21)
table-cell	M18	""			(1191, 519)	(90, 21)
table-cell	N18	""			(1281, 519)	(90, 21)
table-cell	O18	""			(1371, 519)	(90, 21)
table-cell	P18	""			(1461, 519)	(90, 21)
table-cell	Q18	""			(1551, 519)	(90, 21)
table-cell	R18	""			(1641, 519)	(90, 21)
table-cell	S18	""			(1731, 519)	(90, 21)
table-cell	T18	""			(1821, 519)	(28, 21)
table-cell	A19	""			(111, 540)	(90, 21)
table-cell	B19	Morgan Prisoner			(201, 540)	(90, 21)
table-cell	C19	343			(291, 540)	(90, 21)
table-cell	D19	422			(381, 540)	(90, 21)
table-cell	E19	848			(471, 540)	(90, 21)
table-cell	F19	""			(561, 540)	(90, 21)
table-cell	G19	""			(651, 540)	(90, 21)
table-cell	H19	""			(741, 540)	(90, 21)
table-cell	I19	""			(831, 540)	(90, 21)
table-cell	J19	""			(921, 540)	(90, 21)
table-cell	K19	""			(1011, 540)	(90, 21)
table-cell	L19	""			(1101, 540)	(90, 21)
table-cell	M19	""			(1191, 540)	(90, 21)
table-cell	N19	""			(1281, 540)	(90, 21)
table-cell	O19	""			(1371, 540)	(90, 21)
table-cell	P19	""			(1461, 540)	(90, 21)
table-cell	Q19	""			(1551, 540)	(90, 21)
table-cell	R19	""			(1641, 540)	(90, 21)
table-cell	S19	""			(1731, 540)	(90, 21)
table-cell	T19	""			(1821, 540)	(28, 21)
table-cell	A20	""			(111, 561)	(90, 21)
table-cell	B20	Emma Stoned			(201, 561)	(90, 21)
table-cell	C20	873			(291, 561)	(90, 21)
table-cell	D20	747			(381, 561)	(90, 21)
table-cell	E20	701			(471, 561)	(90, 21)
table-cell	F20	""			(561, 561)	(90, 21)
table-cell	G20	""			(651, 561)	(90, 21)
table-cell	H20	""			(741, 561)	(90, 21)
table-cell	I20	""			(831, 561)	(90, 21)
table-cell	J20	""			(921, 561)	(90, 21)
table-cell	K20	""			(1011, 561)	(90, 21)
table-cell	L20	""			(1101, 561)	(90, 21)
table-cell	M20	""			(1191, 561)	(90, 21)
table-cell	N20	""			(1281, 561)	(90, 21)
table-cell	O20	""			(1371, 561)	(90, 21)
table-cell	P20	""			(1461, 561)	(90, 21)
table-cell	Q20	""			(1551, 561)	(90, 21)
table-cell	R20	""			(1641, 561)	(90, 21)
table-cell	S20	""			(1731, 561)	(90, 21)
table-cell	T20	""			(1821, 561)	(28, 21)
table-cell	A21	""			(111, 582)	(90, 21)
table-cell	B21	Leonardo DiThario			(201, 582)	(90, 21)
table-cell	C21	292			(291, 582)	(90, 21)
table-cell	D21	476			(381, 582)	(90, 21)
table-cell	E21	299			(471, 582)	(90, 21)
table-cell	F21	""			(561, 582)	(90, 21)
table-cell	G21	""			(651, 582)	(90, 21)
table-cell	H21	""			(741, 582)	(90, 21)
table-cell	I21	""			(831, 582)	(90, 21)
table-cell	J21	""			(921, 582)	(90, 21)
table-cell	K21	""			(1011, 582)	(90, 21)
table-cell	L21	""			(1101, 582)	(90, 21)
table-cell	M21	""			(1191, 582)	(90, 21)
table-cell	N21	""			(1281, 582)	(90, 21)
table-cell	O21	""			(1371, 582)	(90, 21)
table-cell	P21	""			(1461, 582)	(90, 21)
table-cell	Q21	""			(1551, 582)	(90, 21)
table-cell	R21	""			(1641, 582)	(90, 21)
table-cell	S21	""			(1731, 582)	(90, 21)
table-cell	T21	""			(1821, 582)	(28, 21)
table-cell	A22	""			(111, 603)	(90, 21)
table-cell	B22	Tom Drive			(201, 603)	(90, 21)
table-cell	C22	499			(291, 603)	(90, 21)
table-cell	D22	466			(381, 603)	(90, 21)
table-cell	E22	299			(471, 603)	(90, 21)
table-cell	F22	""			(561, 603)	(90, 21)
table-cell	G22	""			(651, 603)	(90, 21)
table-cell	H22	""			(741, 603)	(90, 21)
table-cell	I22	""			(831, 603)	(90, 21)
table-cell	J22	""			(921, 603)	(90, 21)
table-cell	K22	""			(1011, 603)	(90, 21)
table-cell	L22	""			(1101, 603)	(90, 21)
table-cell	M22	""			(1191, 603)	(90, 21)
table-cell	N22	""			(1281, 603)	(90, 21)
table-cell	O22	""			(1371, 603)	(90, 21)
table-cell	P22	""			(1461, 603)	(90, 21)
table-cell	Q22	""			(1551, 603)	(90, 21)
table-cell	R22	""			(1641, 603)	(90, 21)
table-cell	S22	""			(1731, 603)	(90, 21)
table-cell	T22	""			(1821, 603)	(28, 21)
table-cell	A23	""			(111, 624)	(90, 21)
table-cell	B23	Selena Stopmez			(201, 624)	(90, 21)
table-cell	C23	365			(291, 624)	(90, 21)
table-cell	D23	255			(381, 624)	(90, 21)
table-cell	E23	144			(471, 624)	(90, 21)
table-cell	F23	""			(561, 624)	(90, 21)
table-cell	G23	""			(651, 624)	(90, 21)
table-cell	H23	""			(741, 624)	(90, 21)
table-cell	I23	""			(831, 624)	(90, 21)
table-cell	J23	""			(921, 624)	(90, 21)
table-cell	K23	""			(1011, 624)	(90, 21)
table-cell	L23	""			(1101, 624)	(90, 21)
table-cell	M23	""			(1191, 624)	(90, 21)
table-cell	N23	""			(1281, 624)	(90, 21)
table-cell	O23	""			(1371, 624)	(90, 21)
table-cell	P23	""			(1461, 624)	(90, 21)
table-cell	Q23	""			(1551, 624)	(90, 21)
table-cell	R23	""			(1641, 624)	(90, 21)
table-cell	S23	""			(1731, 624)	(90, 21)
table-cell	T23	""			(1821, 624)	(28, 21)
table-cell	A24	""			(111, 645)	(90, 21)
table-cell	B24	""			(201, 645)	(90, 21)
table-cell	C24	""			(291, 645)	(90, 21)
table-cell	D24	""			(381, 645)	(90, 21)
table-cell	E24	""			(471, 645)	(90, 21)
table-cell	F24	""			(561, 645)	(90, 21)
table-cell	G24	""			(651, 645)	(90, 21)
table-cell	H24	""			(741, 645)	(90, 21)
table-cell	I24	""			(831, 645)	(90, 21)
table-cell	J24	""			(921, 645)	(90, 21)
table-cell	K24	""			(1011, 645)	(90, 21)
table-cell	L24	""			(1101, 645)	(90, 21)
table-cell	M24	""			(1191, 645)	(90, 21)
table-cell	N24	""			(1281, 645)	(90, 21)
table-cell	O24	""			(1371, 645)	(90, 21)
table-cell	P24	""			(1461, 645)	(90, 21)
table-cell	Q24	""			(1551, 645)	(90, 21)
table-cell	R24	""			(1641, 645)	(90, 21)
table-cell	S24	""			(1731, 645)	(90, 21)
table-cell	T24	""			(1821, 645)	(28, 21)
table-cell	A25	""			(111, 666)	(90, 21)
table-cell	B25	""			(201, 666)	(90, 21)
table-cell	C25	""			(291, 666)	(90, 21)
table-cell	D25	""			(381, 666)	(90, 21)
table-cell	E25	""			(471, 666)	(90, 21)
table-cell	F25	""			(561, 666)	(90, 21)
table-cell	G25	""			(651, 666)	(90, 21)
table-cell	H25	""			(741, 666)	(90, 21)
table-cell	I25	""			(831, 666)	(90, 21)
table-cell	J25	""			(921, 666)	(90, 21)
table-cell	K25	""			(1011, 666)	(90, 21)
table-cell	L25	""			(1101, 666)	(90, 21)
table-cell	M25	""			(1191, 666)	(90, 21)
table-cell	N25	""			(1281, 666)	(90, 21)
table-cell	O25	""			(1371, 666)	(90, 21)
table-cell	P25	""			(1461, 666)	(90, 21)
table-cell	Q25	""			(1551, 666)	(90, 21)
table-cell	R25	""			(1641, 666)	(90, 21)
table-cell	S25	""			(1731, 666)	(90, 21)
table-cell	T25	""			(1821, 666)	(28, 21)
table-cell	A26	""			(111, 687)	(90, 21)
table-cell	B26	""			(201, 687)	(90, 21)
table-cell	C26	""			(291, 687)	(90, 21)
table-cell	D26	""			(381, 687)	(90, 21)
table-cell	E26	""			(471, 687)	(90, 21)
table-cell	F26	""			(561, 687)	(90, 21)
table-cell	G26	""			(651, 687)	(90, 21)
