tag	name	text	class	description	position (top-left x&y)	size (w&h)
menu	View	View			(153, 89)	(50, 21)
menu	Insert	Insert			(203, 89)	(56, 21)
menu	Format	Format			(259, 89)	(66, 21)
menu	Tools	Tools			(325, 89)	(53, 21)
menu	Window	Window			(378, 89)	(73, 21)
menu	Help	Help			(451, 89)	(48, 21)
scroll-bar	Vertical scroll bar	""			(1849, 172)	(12, 850)
scroll-bar	Horizontal scroll bar	""			(70, 1022)	(1774, 12)
document-spreadsheet	file:///home/user/OrderId_Month_Chart.xlsx - LibreOffice Spreadsheets	""			(111, 187)	(1738, 835)
table-cell	A1	""			(111, 187)	(90, 21)
table-cell	B1	Order ID			(201, 187)	(90, 21)
table-cell	C1	Jan			(291, 187)	(90, 21)
table-cell	D1	Feb			(381, 187)	(90, 21)
table-cell	E1	Mar			(471, 187)	(90, 21)
table-cell	F1	Chart			(561, 187)	(90, 21)
table-cell	G1	""			(651, 187)	(90, 21)
table-cell	H1	""			(741, 187)	(90, 21)
table-cell	I1	""			(831, 187)	(90, 21)
table-cell	J1	""			(921, 187)	(90, 21)
table-cell	K1	""			(1011, 187)	(90, 21)
table-cell	L1	""			(1101, 187)	(90, 21)
table-cell	M1	""			(1191, 187)	(90, 21)
table-cell	N1	""			(1281, 187)	(90, 21)
table-cell	O1	""			(1371, 187)	(90, 21)
table-cell	P1	""			(1461, 187)	(90, 21)
table-cell	Q1	""			(1551, 187)	(90, 21)
table-cell	R1	""			(1641, 187)	(90, 21)
table-cell	S1	""			(1731, 187)	(90, 21)
table-cell	T1	""			(1821, 187)	(28, 21)
table-cell	A2	""			(111, 208)	(90, 21)
table-cell	B2	Benedict Cucumberbatch			(201, 208)	(90, 21)
table-cell	C2	391			(291, 208)	(90, 21)
table-cell	D2	304			(381, 208)	(90, 21)
table-cell	E2	885			(471, 208)	(90, 21)
table-cell	F2	""			(561, 208)	(90, 21)
table-cell	G2	""			(651, 208)	(90, 21)
table-cell	H2	""			(741, 208)	(90, 21)
table-cell	I2	""			(831, 208)	(90, 21)
table-cell	J2	""			(921, 208)	(90, 21)
table-cell	K2	""			(1011, 208)	(90, 21)
table-cell	L2	""			(1101, 208)	(90, 21)
table-cell	M2	""			(1191, 208)	(90, 21)
table-cell	N2	""			(1281, 208)	(90, 21)
table-cell	O2	""			(1371, 208)	(90, 21)
table-cell	P2	""			(1461, 208)	(90, 21)
table-cell	Q2	""			(1551, 208)	(90, 21)
table-cell	R2	""			(1641, 208)	(90, 21)
table-cell	S2	""			(1731, 208)	(90, 21)
table-cell	T2	""			(1821, 208)	(28, 21)
table-cell	A3	""			(111, 229)	(90, 21)
table-cell	B3	Blake Dreary			(201, 229)	(90, 21)
table-cell	C3	582			(291, 229)	(90, 21)
table-cell	D3	980			(381, 229)	(90, 21)
table-cell	E3	50			(471, 229)	(90, 21)
table-cell	F3	""			(561, 229)	(90, 21)
table-cell	G3	""			(651, 229)	(90, 21)
table-cell	H3	""			(741, 229)	(90, 21)
table-cell	I3	""			(831, 229)	(90, 21)
table-cell	J3	""			(921, 229)	(90, 21)
table-cell	K3	""			(1011, 229)	(90, 21)
table-cell	L3	""			(1101, 229)	(90, 21)
table-cell	M3	""			(1191, 229)	(90, 21)
table-cell	N3	""			(1281, 229)	(90, 21)
table-cell	O3	""			(1371, 229)	(90, 21)
table-cell	P3	""			(1461, 229)	(90, 21)
table-cell	Q3	""			(1551, 229)	(90, 21)
table-cell	R3	""			(1641, 229)	(90, 21)
table-cell	S3	""			(1731, 229)	(90, 21)
table-cell	T3	""			(1821, 229)	(28, 21)
table-cell	A4	""			(111, 250)	(90, 21)
table-cell	B4	Bey Twice			(201, 250)	(90, 21)
table-cell	C4	268			(291, 250)	(90, 21)
table-cell	D4	224			(381, 250)	(90, 21)
table-cell	E4	739			(471, 250)	(90, 21)
table-cell	F4	""			(561, 250)	(90, 21)
table-cell	G4	""			(651, 250)	(90, 21)
table-cell	H4	""			(741, 250)	(90, 21)
table-cell	I4	""			(831, 250)	(90, 21)
table-cell	J4	""			(921, 250)	(90, 21)
table-cell	K4	""			(1011, 250)	(90, 21)
table-cell	L4	""			(1101, 250)	(90, 21)
table-cell	M4	""			(1191, 250)	(90, 21)
table-cell	N4	""			(1281, 250)	(90, 21)
table-cell	O4	""			(1371, 250)	(90, 21)
table-cell	P4	""			(1461, 250)	(90, 21)
table-cell	Q4	""			(1551, 250)	(90, 21)
table-cell	R4	""			(1641, 250)	(90, 21)
table-cell	S4	""			(1731, 250)	(90, 21)
table-cell	T4	""			(1821, 250)	(28, 21)
table-cell	A5	""			(111, 271)	(90, 21)
table-cell	B5	Arnold Shawama			(201, 271)	(90, 21)
table-cell	C5	392			(291, 271)	(90, 21)
table-cell	D5	535			(381, 271)	(90, 21)
table-cell	E5	170			(471, 271)	(90, 21)
table-cell	F5	""			(561, 271)	(90, 21)
table-cell	G5	""			(651, 271)	(90, 21)
table-cell	H5	""			(741, 271)	(90, 21)
table-cell	I5	""			(831, 271)	(90, 21)
table-cell	J5	""			(921, 271)	(90, 21)
table-cell	K5	""			(1011, 271)	(90, 21)
table-cell	L5	""			(1101, 271)	(90, 21)
table-cell	M5	""			(1191, 271)	(90, 21)
table-cell	N5	""			(1281, 271)	(90, 21)
table-cell	O5	""			(1371, 271)	(90, 21)
table-cell	P5	""			(1461, 271)	(90, 21)
table-cell	Q5	""			(1551, 271)	(90, 21)
table-cell	R5	""			(1641, 271)	(90, 21)
table-cell	S5	""			(1731, 271)	(90, 21)
table-cell	T5	""			(1821, 271)	(28, 21)
table-cell	A6	""			(111, 292)	(90, 21)
table-cell	B6	Clint Eastwood			(201, 292)	(90, 21)
table-cell	C6	172			(291, 292)	(90, 21)
table-cell	D6	814			(381, 292)	(90, 21)
table-cell	E6	360			(471, 292)	(90, 21)
table-cell	F6	""			(561, 292)	(90, 21)
table-cell	G6	""			(651, 292)	(90, 21)
table-cell	H6	""			(741, 292)	(90, 21)
table-cell	I6	""			(831, 292)	(90, 21)
table-cell	J6	""			(921, 292)	(90, 21)
table-cell	K6	""			(1011, 292)	(90, 21)
table-cell	L6	""			(1101, 292)	(90, 21)
table-cell	M6	""			(1191, 292)	(90, 21)
table-cell	N6	""			(1281, 292)	(90, 21)
table-cell	O6	""			(1371, 292)	(90, 21)
table-cell	P6	""			(1461, 292)	(90, 21)
table-cell	Q6	""			(1551, 292)	(90, 21)
table-cell	R6	""			(1641, 292)	(90, 21)
table-cell	S6	""			(1731, 292)	(90, 21)
table-cell	T6	""			(1821, 292)	(28, 21)
table-cell	A7	""			(111, 313)	(90, 21)
table-cell	B7	Olivia Calme			(201, 313)	(90, 21)
table-cell	C7	584			(291, 313)	(90, 21)
table-cell	D7	419			(381, 313)	(90, 21)
table-cell	E7	476			(471, 313)	(90, 21)
table-cell	F7	""			(561, 313)	(90, 21)
table-cell	G7	""			(651, 313)	(90, 21)
table-cell	H7	""			(741, 313)	(90, 21)
table-cell	I7	""			(831, 313)	(90, 21)
table-cell	J7	""			(921, 313)	(90, 21)
table-cell	K7	""			(1011, 313)	(90, 21)
table-cell	L7	""			(1101, 313)	(90, 21)
table-cell	M7	""			(1191, 313)	(90, 21)
table-cell	N7	""			(1281, 313)	(90, 21)
table-cell	O7	""			(1371, 313)	(90, 21)
table-cell	P7	""			(1461, 313)	(90, 21)
table-cell	Q7	""			(1551, 313)	(90, 21)
table-cell	R7	""			(1641, 313)	(90, 21)
table-cell	S7	""			(1731, 313)	(90, 21)
table-cell	T7	""			(1821, 313)	(28, 21)
table-cell	A8	""			(111, 334)	(90, 21)
table-cell	B8	Parah Salin			(201, 334)	(90, 21)
table-cell	C8	679			(291, 334)	(90, 21)
table-cell	D8	345			(381, 334)	(90, 21)
table-cell	E8	756			(471, 334)	(90, 21)
table-cell	F8	""			(561, 334)	(90, 21)
table-cell	G8	""			(651, 334)	(90, 21)
table-cell	H8	""			(741, 334)	(90, 21)
table-cell	I8	""			(831, 334)	(90, 21)
table-cell	J8	""			(921, 334)	(90, 21)
table-cell	K8	""			(1011, 334)	(90, 21)
table-cell	L8	""			(1101, 334)	(90, 21)
table-cell	M8	""			(1191, 334)	(90, 21)
table-cell	N8	""			(1281, 334)	(90, 21)
table-cell	O8	""			(1371, 334)	(90, 21)
table-cell	P8	""			(1461, 334)	(90, 21)
table-cell	Q8	""			(1551, 334)	(90, 21)
table-cell	R8	""			(1641, 334)	(90, 21)
table-cell	S8	""			(1731, 334)	(90, 21)
table-cell	T8	""			(1821, 334)	(28, 21)
table-cell	A9	""			(111, 355)	(90, 21)
table-cell	B9	Elijah Plastic			(201, 355)	(90, 21)
table-cell	C9	870			(291, 355)	(90, 21)
table-cell	D9	843			(381, 355)	(90, 21)
table-cell	E9	282			(471, 355)	(90, 21)
table-cell	F9	""			(561, 355)	(90, 21)
table-cell	G9	""			(651, 355)	(90, 21)
table-cell	H9	""			(741, 355)	(90, 21)
table-cell	I9	""			(831, 355)	(90, 21)
table-cell	J9	""			(921, 355)	(90, 21)
table-cell	K9	""			(1011, 355)	(90, 21)
table-cell	L9	""			(1101, 355)	(90, 21)
table-cell	M9	""			(1191, 355)	(90, 21)
table-cell	N9	""			(1281, 355)	(90, 21)
table-cell	O9	""			(1371, 355)	(90, 21)
table-cell	P9	""			(1461, 355)	(90, 21)
table-cell	Q9	""			(1551, 355)	(90, 21)
table-cell	R9	""			(1641, 355)	(90, 21)
table-cell	S9	""			(1731, 355)	(90, 21)
table-cell	T9	""			(1821, 355)	(28, 21)
table-cell	A10	""			(111, 376)	(90, 21)
table-cell	B10	Tom Softy			(201, 376)	(90, 21)
table-cell	C10	817			(291, 376)	(90, 21)
table-cell	D10	466			(381, 376)	(90, 21)
table-cell	E10	255			(471, 376)	(90, 21)
table-cell	F10	""			(561, 376)	(90, 21)
table-cell	G10	""			(651, 376)	(90, 21)
table-cell	H10	""			(741, 376)	(90, 21)
table-cell	I10	""			(831, 376)	(90, 21)
table-cell	J10	""			(921, 376)	(90, 21)
table-cell	K10	""			(1011, 376)	(90, 21)
table-cell	L10	""			(1101, 376)	(90, 21)
table-cell	M10	""			(1191, 376)	(90, 21)
table-cell	N10	""			(1281, 376)	(90, 21)
table-cell	O10	""			(1371, 376)	(90, 21)
table-cell	P10	""			(1461, 376)	(90, 21)
table-cell	Q10	""			(1551, 376)	(90, 21)
table-cell	R10	""			(1641, 376)	(90, 21)
table-cell	S10	""			(1731, 376)	(90, 21)
table-cell	T10	""			(1821, 376)	(28, 21)
table-cell	A11	""			(111, 397)	(90, 21)
table-cell	B11	John Badman			(201, 397)	(90, 21)
table-cell	C11	216			(291, 397)	(90, 21)
table-cell	D11	285			(381, 397)	(90, 21)
table-cell	E11	152			(471, 397)	(90, 21)
table-cell	F11	""			(561, 397)	(90, 21)
table-cell	G11	""			(651, 397)	(90, 21)
table-cell	H11	""			(741, 397)	(90, 21)
table-cell	I11	""			(831, 397)	(90, 21)
table-cell	J11	""			(921, 397)	(90, 21)
table-cell	K11	""			(1011, 397)	(90, 21)
table-cell	L11	""			(1101, 397)	(90, 21)
table-cell	M11	""			(1191, 397)	(90, 21)
table-cell	N11	""			(1281, 397)	(90, 21)
table-cell	O11	""			(1371, 397)	(90, 21)
table-cell	P11	""			(1461, 397)	(90, 21)
table-cell	Q11	""			(1551, 397)	(90, 21)
table-cell	R11	""			(1641, 397)	(90, 21)
table-cell	S11	""			(1731, 397)	(90, 21)
table-cell	T11	""			(1821, 397)	(28, 21)
table-cell	A12	""			(111, 418)	(90, 21)
table-cell	B12	Kanye East			(201, 418)	(90, 21)
table-cell	C12	783			(291, 418)	(90, 21)
table-cell	D12	867			(381, 418)	(90, 21)
table-cell	E12	130			(471, 418)	(90, 21)
table-cell	F12	""			(561, 418)	(90, 21)
table-cell	G12	""			(651, 418)	(90, 21)
table-cell	H12	""			(741, 418)	(90, 21)
table-cell	I12	""			(831, 418)	(90, 21)
table-cell	J12	""			(921, 418)	(90, 21)
table-cell	K12	""			(1011, 418)	(90, 21)
table-cell	L12	""			(1101, 418)	(90, 21)
table-cell	M12	""			(1191, 418)	(90, 21)
table-cell	N12	""			(1281, 418)	(90, 21)
table-cell	O12	""			(1371, 418)	(90, 21)
table-cell	P12	""			(1461, 418)	(90, 21)
table-cell	Q12	""			(1551, 418)	(90, 21)
table-cell	R12	""			(1641, 418)	(90, 21)
table-cell	S12	""			(1731, 418)	(90, 21)
table-cell	T12	""			(1821, 418)	(28, 21)
table-cell	A13	""			(111, 439)	(90, 21)
table-cell	B13	Reese Withoutaspoon			(201, 439)	(90, 21)
table-cell	C13	632			(291, 439)	(90, 21)
table-cell	D13	295			(381, 439)	(90, 21)
table-cell	E13	819			(471, 439)	(90, 21)
table-cell	F13	""			(561, 439)	(90, 21)
table-cell	G13	""			(651, 439)	(90, 21)
table-cell	H13	""			(741, 439)	(90, 21)
table-cell	I13	""			(831, 439)	(90, 21)
table-cell	J13	""			(921, 439)	(90, 21)
table-cell	K13	""			(1011, 439)	(90, 21)
table-cell	L13	""			(1101, 439)	(90, 21)
table-cell	M13	""			(1191, 439)	(90, 21)
table-cell	N13	""			(1281, 439)	(90, 21)
table-cell	O13	""			(1371, 439)	(90, 21)
table-cell	P13	""			(1461, 439)	(90, 21)
table-cell	Q13	""			(1551, 439)	(90, 21)
table-cell	R13	""			(1641, 439)	(90, 21)
table-cell	S13	""			(1731, 439)	(90, 21)
table-cell	T13	""			(1821, 439)	(28, 21)
table-cell	A14	""			(111, 460)	(90, 21)
table-cell	B14	Swan Ronson			(201, 460)	(90, 21)
table-cell	C14	242			(291, 460)	(90, 21)
table-cell	D14	747			(381, 460)	(90, 21)
table-cell	E14	579			(471, 460)	(90, 21)
table-cell	F14	""			(561, 460)	(90, 21)
table-cell	G14	""			(651, 460)	(90, 21)
table-cell	H14	""			(741, 460)	(90, 21)
table-cell	I14	""			(831, 460)	(90, 21)
table-cell	J14	""			(921, 460)	(90, 21)
table-cell	K14	""			(1011, 460)	(90, 21)
table-cell	L14	""			(1101, 460)	(90, 21)
table-cell	M14	""			(1191, 460)	(90, 21)
table-cell	N14	""			(1281, 460)	(90, 21)
table-cell	O14	""			(1371, 460)	(90, 21)
table-cell	P14	""			(1461, 460)	(90, 21)
table-cell	Q14	""			(1551, 460)	(90, 21)
table-cell	R14	""			(1641, 460)	(90, 21)
table-cell	S14	""			(1731, 460)	(90, 21)
table-cell	T14	""			(1821, 460)	(28, 21)
table-cell	A15	""			(111, 481)	(90, 21)
table-cell	B15	50 Dollar Dollar			(201, 481)	(90, 21)
table-cell	C15	802			(291, 481)	(90, 21)
table-cell	D15	730			(381, 481)	(90, 21)
table-cell	E15	278			(471, 481)	(90, 21)
table-cell	F15	""			(561, 481)	(90, 21)
table-cell	G15	""			(651, 481)	(90, 21)
table-cell	H15	""			(741, 481)	(90, 21)
table-cell	I15	""			(831, 481)	(90, 21)
table-cell	J15	""			(921, 481)	(90, 21)
table-cell	K15	""			(1011, 481)	(90, 21)
table-cell	L15	""			(1101, 481)	(90, 21)
table-cell	M15	""			(1191, 481)	(90, 21)
table-cell	N15	""			(1281, 481)	(90, 21)
table-cell	O15	""			(1371, 481)	(90, 21)
table-cell	P15	""			(1461, 481)	(90, 21)
table-cell	Q15	""			(1551, 481)	(90, 21)
table-cell	R15	""			(1641, 481)	(90, 21)
table-cell	S15	""			(1731, 481)	(90, 21)
table-cell	T15	""			(1821, 481)	(28, 21)
table-cell	A16	""			(111, 502)	(90, 21)
table-cell	B16	Jonah Mountain			(201, 502)	(90, 21)
table-cell	C16	588			(291, 502)	(90, 21)
table-cell	D16	507			(381, 502)	(90, 21)
table-cell	E16	861			(471, 502)	(90, 21)
table-cell	F16	""			(561, 502)	(90, 21)
table-cell	G16	""			(651, 502)	(90, 21)
table-cell	H16	""			(741, 502)	(90, 21)
table-cell	I16	""			(831, 502)	(90, 21)
table-cell	J16	""			(921, 502)	(90, 21)
table-cell	K16	""			(1011, 502)	(90, 21)
table-cell	L16	""			(1101, 502)	(90, 21)
table-cell	M16	""			(1191, 502)	(90, 21)
table-cell	N16	""			(1281, 502)	(90, 21)
table-cell	O16	""			(1371, 502)	(90, 21)
table-cell	P16	""			(1461, 502)	(90, 21)
table-cell	Q16	""			(1551, 502)	(90, 21)
table-cell	R16	""			(1641, 502)	(90, 21)
table-cell	S16	""			(1731, 502)	(90, 21)
table-cell	T16	""			(1821, 502)	(28, 21)
table-cell	A17	""			(111, 523)	(90, 21)
table-cell	B17	Jeff Tunnels			(201, 523)	(90, 21)
table-cell	C17	625			(291, 523)	(90, 21)
table-cell	D17	205			(381, 523)	(90, 21)
table-cell	E17	761			(471, 523)	(90, 21)
table-cell	F17	""			(561, 523)	(90, 21)
table-cell	G17	""			(651, 523)	(90, 21)
table-cell	H17	""			(741, 523)	(90, 21)
table-cell	I17	""			(831, 523)	(90, 21)
table-cell	J17	""			(921, 523)	(90, 21)
table-cell	K17	""			(1011, 523)	(90, 21)
table-cell	L17	""			(1101, 523)	(90, 21)
table-cell	M17	""			(1191, 523)	(90, 21)
table-cell	N17	""			(1281, 523)	(90, 21)
table-cell	O17	""			(1371, 523)	(90, 21)
table-cell	P17	""			(1461, 523)	(90, 21)
table-cell	Q17	""			(1551, 523)	(90, 21)
table-cell	R17	""			(1641, 523)	(90, 21)
table-cell	S17	""			(1731, 523)	(90, 21)
table-cell	T17	""			(1821, 523)	(28, 21)
table-cell	A18	""			(111, 544)	(90, 21)
table-cell	B18	Keira Daily			(201, 544)	(90, 21)
table-cell	C18	202			(291, 544)	(90, 21)
table-cell	D18	438			(381, 544)	(90, 21)
table-cell	E18	604			(471, 544)	(90, 21)
table-cell	F18	""			(561, 544)	(90, 21)
table-cell	G18	""			(651, 544)	(90, 21)
table-cell	H18	""			(741, 544)	(90, 21)
table-cell	I18	""			(831, 544)	(90, 21)
table-cell	J18	""			(921, 544)	(90, 21)
table-cell	K18	""			(1011, 544)	(90, 21)
table-cell	L18	""			(1101, 544)	(90, 21)
table-cell	M18	""			(1191, 544)	(90, 21)
table-cell	N18	""			(1281, 544)	(90, 21)
table-cell	O18	""			(1371, 544)	(90, 21)
table-cell	P18	""			(1461, 544)	(90, 21)
table-cell	Q18	""			(1551, 544)	(90, 21)
table-cell	R18	""			(1641, 544)	(90, 21)
table-cell	S18	""			(1731, 544)	(90, 21)
table-cell	T18	""			(1821, 544)	(28, 21)
table-cell	A19	""			(111, 565)	(90, 21)
table-cell	B19	Morgan Prisoner			(201, 565)	(90, 21)
table-cell	C19	343			(291, 565)	(90, 21)
table-cell	D19	422			(381, 565)	(90, 21)
table-cell	E19	848			(471, 565)	(90, 21)
table-cell	F19	""			(561, 565)	(90, 21)
table-cell	G19	""			(651, 565)	(90, 21)
table-cell	H19	""			(741, 565)	(90, 21)
table-cell	I19	""			(831, 565)	(90, 21)
table-cell	J19	""			(921, 565)	(90, 21)
table-cell	K19	""			(1011, 565)	(90, 21)
table-cell	L19	""			(1101, 565)	(90, 21)
table-cell	M19	""			(1191, 565)	(90, 21)
table-cell	N19	""			(1281, 565)	(90, 21)
table-cell	O19	""			(1371, 565)	(90, 21)
table-cell	P19	""			(1461, 565)	(90, 21)
table-cell	Q19	""			(1551, 565)	(90, 21)
table-cell	R19	""			(1641, 565)	(90, 21)
table-cell	S19	""			(1731, 565)	(90, 21)
table-cell	T19	""			(1821, 565)	(28, 21)
table-cell	A20	""			(111, 586)	(90, 21)
table-cell	B20	Emma Stoned			(201, 586)	(90, 21)
table-cell	C20	873			(291, 586)	(90, 21)
table-cell	D20	747			(381, 586)	(90, 21)
table-cell	E20	701			(471, 586)	(90, 21)
table-cell	F20	""			(561, 586)	(90, 21)
table-cell	G20	""			(651, 586)	(90, 21)
table-cell	H20	""			(741, 586)	(90, 21)
table-cell	I20	""			(831, 586)	(90, 21)
table-cell	J20	""			(921, 586)	(90, 21)
table-cell	K20	""			(1011, 586)	(90, 21)
table-cell	L20	""			(1101, 586)	(90, 21)
table-cell	M20	""			(1191, 586)	(90, 21)
table-cell	N20	""			(1281, 586)	(90, 21)
table-cell	O20	""			(1371, 586)	(90, 21)
table-cell	P20	""			(1461, 586)	(90, 21)
table-cell	Q20	""			(1551, 586)	(90, 21)
table-cell	R20	""			(1641, 586)	(90, 21)
table-cell	S20	""			(1731, 586)	(90, 21)
table-cell	T20	""			(1821, 586)	(28, 21)
table-cell	A21	""			(111, 607)	(90, 21)
table-cell	B21	Leonardo DiThario			(201, 607)	(90, 21)
table-cell	C21	292			(291, 607)	(90, 21)
table-cell	D21	476			(381, 607)	(90, 21)
table-cell	E21	299			(471, 607)	(90, 21)
table-cell	F21	""			(561, 607)	(90, 21)
table-cell	G21	""			(651, 607)	(90, 21)
table-cell	H21	""			(741, 607)	(90, 21)
table-cell	I21	""			(831, 607)	(90, 21)
table-cell	J21	""			(921, 607)	(90, 21)
table-cell	K21	""			(1011, 607)	(90, 21)
table-cell	L21	""			(1101, 607)	(90, 21)
table-cell	M21	""			(1191, 607)	(90, 21)
table-cell	N21	""			(1281, 607)	(90, 21)
table-cell	O21	""			(1371, 607)	(90, 21)
table-cell	P21	""			(1461, 607)	(90, 21)
table-cell	Q21	""			(1551, 607)	(90, 21)
table-cell	R21	""			(1641, 607)	(90, 21)
table-cell	S21	""			(1731, 607)	(90, 21)
table-cell	T21	""			(1821, 607)	(28, 21)
table-cell	A22	""			(111, 628)	(90, 21)
table-cell	B22	Tom Drive			(201, 628)	(90, 21)
table-cell	C22	499			(291, 628)	(90, 21)
table-cell	D22	466			(381, 628)	(90, 21)
table-cell	E22	299			(471, 628)	(90, 21)
table-cell	F22	""			(561, 628)	(90, 21)
table-cell	G22	""			(651, 628)	(90, 21)
table-cell	H22	""			(741, 628)	(90, 21)
table-cell	I22	""			(831, 628)	(90, 21)
table-cell	J22	""			(921, 628)	(90, 21)
table-cell	K22	""			(1011, 628)	(90, 21)
table-cell	L22	""			(1101, 628)	(90, 21)
table-cell	M22	""			(1191, 628)	(90, 21)
table-cell	N22	""			(1281, 628)	(90, 21)
table-cell	O22	""			(1371, 628)	(90, 21)
table-cell	P22	""			(1461, 628)	(90, 21)
table-cell	Q22	""			(1551, 628)	(90, 21)
table-cell	R22	""			(1641, 628)	(90, 21)
table-cell	S22	""			(1731, 628)	(90, 21)
table-cell	T22	""			(1821, 628)	(28, 21)
table-cell	A23	""			(111, 649)	(90, 21)
table-cell	B23	Selena Stopmez			(201, 649)	(90, 21)
table-cell	C23	365			(291, 649)	(90, 21)
table-cell	D23	255			(381, 649)	(90, 21)
table-cell	E23	144			(471, 649)	(90, 21)
table-cell	F23	""			(561, 649)	(90, 21)
table-cell	G23	""			(651, 649)	(90, 21)
table-cell	H23	""			(741, 649)	(90, 21)
table-cell	I23	""			(831, 649)	(90, 21)
table-cell	J23	""			(921, 649)	(90, 21)
table-cell	K23	""			(1011, 649)	(90, 21)
table-cell	L23	""			(1101, 649)	(90, 21)
table-cell	M23	""			(1191, 649)	(90, 21)
table-cell	N23	""			(1281, 649)	(90, 21)
table-cell	O23	""			(1371, 649)	(90, 21)
table-cell	P23	""			(1461, 649)	(90, 21)
table-cell	Q23	""			(1551, 649)	(90, 21)
table-cell	R23	""			(1641, 649)	(90, 21)
table-cell	S23	""			(1731, 649)	(90, 21)
table-cell	T23	""			(1821, 649)	(28, 21)
table-cell	A24	""			(111, 670)	(90, 21)
table-cell	B24	""			(201, 670)	(90, 21)
table-cell	C24	""			(291, 670)	(90, 21)
table-cell	D24	""			(381, 670)	(90, 21)
table-cell	E24	""			(471, 670)	(90, 21)
table-cell	F24	""			(561, 670)	(90, 21)
table-cell	G24	""			(651, 670)	(90, 21)
table-cell	H24	""			(741, 670)	(90, 21)
table-cell	I24	""			(831, 670)	(90, 21)
table-cell	J24	""			(921, 670)	(90, 21)
table-cell	K24	""			(1011, 670)	(90, 21)
table-cell	L24	""			(1101, 670)	(90, 21)
table-cell	M24	""			(1191, 670)	(90, 21)
table-cell	N24	""			(1281, 670)	(90, 21)
table-cell	O24	""			(1371, 670)	(90, 21)
table-cell	P24	""			(1461, 670)	(90, 21)
table-cell	Q24	""			(1551, 670)	(90, 21)
table-cell	R24	""			(1641, 670)	(90, 21)
table-cell	S24	""			(1731, 670)	(90, 21)
table-cell	T24	""			(1821, 670)	(28, 21)
table-cell	A25	""			(111, 691)	(90, 21)
table-cell	B25	""			(201, 691)	(90, 21)
table-cell	C25	""			(291, 691)	(90, 21)
table-cell	D25	""			(381, 691)	(90, 21)
table-cell	E25	""			(471, 691)	(90, 21)
table-cell	F25	""			(561, 691)	(90, 21)
table-cell	G25	""			(651, 691)	(90, 21)
table-cell	H25	""			(741, 691)	(90, 21)
table-cell	I25	""			(831, 691)	(90, 21)
table-cell	J25	""			(921, 691)	(90, 21)
table-cell	K25	""			(1011, 691)	(90, 21)
table-cell	L25	""			(1101, 691)	(90, 21)
table-cell	M25	""			(1191, 691)	(90, 21)
table-cell	N25	""			(1281, 691)	(90, 21)
table-cell	O25	""			(1371, 691)	(90, 21)
table-cell	P25	""			(1461, 691)	(90, 21)
table-cell	Q25	""			(1551, 691)	(90, 21)
table-cell	R25	""			(1641, 691)	(90, 21)
table-cell	S25	""			(1731, 691)	(90, 21)
table-cell	T25	""			(1821, 691)	(28, 21)
table-cell	A26	""			(111, 712)	(90, 21)
table-cell	B26	""			(201, 712)	(90, 21)
table-cell	C26	""			(291, 712)	(90, 21)
table-cell	D26	""			(381, 712)	(90, 21)
table-cell	E26	""			(471, 712)	(90, 21)
table-cell	F26	""			(561, 712)	(90, 21)
table-cell	G26	""			(651, 712)	(90, 21)
