tag	name	text	class	description	position (top-left x&y)	size (w&h)
label	Orientation:	Orientation:			(1572, 254)	(82, 34)
check-box	Master Background	""			(1660, 402)	(158, 22)
push-button	Insert Image...	""			(1660, 328)	(158, 34)
label	Master Slide:	Master Slide:			(1566, 365)	(88, 34)
check-box	Master Objects	""			(1660, 427)	(158, 22)
label	Background:	Background:			(1571, 291)	(83, 34)
label	Format:	Format:			(1600, 217)	(54, 34)
toggle-button	Layouts	""			(1520, 493)	(350, 17)
list-item	Blank Slide	""			(1521, 511)	(87, 66)
list-item	Title Slide	""			(1608, 511)	(87, 66)
list-item	Title, Content	""			(1695, 511)	(87, 66)
list-item	Title and 2 Content	""			(1782, 511)	(87, 66)
list-item	Title Only	""			(1521, 577)	(87, 66)
list-item	Centered Text	""			(1608, 577)	(87, 66)
list-item	Title, 2 Content and Content	""			(1695, 577)	(87, 66)
list-item	Title, Content and 2 Content	""			(1782, 577)	(87, 66)
list-item	Title, 2 Content over Content	""			(1521, 643)	(87, 66)
list-item	Title, Content over Content	""			(1608, 643)	(87, 66)
list-item	Title, 4 Content	""			(1695, 643)	(87, 66)
list-item	Title, 6 Content	""			(1782, 643)	(87, 66)
push-button	Select	""			(74, 105)	(33, 35)
push-button	Zoom & Pan	""			(107, 105)	(33, 35)
push-button	Line Color	""			(148, 105)	(44, 35)
push-button	Fill Color	""			(192, 105)	(44, 35)
push-button	Line	""			(244, 105)	(33, 35)
push-button	Rectangle	""			(277, 105)	(33, 35)
push-button	Ellipse	""			(310, 105)	(33, 35)
push-button	Lines and Arrows	""			(351, 105)	(44, 35)
push-button	Curves and Polygons	""			(395, 105)	(44, 35)
push-button	Connectors	""			(439, 105)	(44, 35)
push-button	Basic Shapes	""			(491, 105)	(44, 35)
push-button	Symbol Shapes	""			(535, 105)	(44, 35)
push-button	Arrow Shapes	""			(579, 105)	(44, 35)
push-button	Flowchart Shapes	""			(623, 105)	(44, 35)
push-button	Callout Shapes	""			(667, 105)	(44, 35)
push-button	Star Shapes	""			(711, 105)	(44, 35)
push-button	3D Objects	""			(755, 105)	(44, 35)
push-button	Rotate	""			(807, 105)	(33, 35)
toggle-button	Shadow	""			(980, 105)	(33, 35)
push-button	Edit Points	""			(1098, 105)	(33, 35)
push-button	Gluepoints	""			(1131, 105)	(33, 35)
push-button	New	""			(74, 66)	(44, 35)
push-button	Open	""			(118, 66)	(44, 35)
push-button	Save	""			(162, 66)	(44, 35)
push-button	Export Directly as PDF	""			(214, 66)	(33, 35)
push-button	Print	""			(247, 66)	(33, 35)
toggle-button	Find and Replace	""			(543, 66)	(33, 35)
push-button	Spelling	""			(576, 66)	(33, 35)
toggle-button	Grid	""			(617, 66)	(33, 35)
push-button	Display Views	""			(650, 62)	(52, 43)
push-button	Master Slide	""			(702, 66)	(33, 35)
push-button	Start from First Slide	""			(743, 66)	(33, 35)
push-button	Start from Current Slide	""			(776, 66)	(33, 35)
push-button	Table	""			(817, 66)	(44, 35)
push-button	Image	""			(861, 66)	(33, 35)
push-button	Media	""			(894, 66)	(33, 35)
push-button	Chart	""			(927, 66)	(33, 35)
push-button	Text Box	""			(968, 66)	(33, 35)
toggle-button	Insert Fontwork	""			(1045, 66)	(33, 35)
toggle-button	Hyperlink	""			(1078, 66)	(33, 35)
toggle-button	Draw Functions	""			(1111, 66)	(33, 35)
push-button	New Slide	""			(1152, 66)	(44, 35)
push-button	Duplicate Slide	""			(1196, 66)	(33, 35)
push-button	Delete Slide	""			(1229, 66)	(33, 35)
push-button	Slide Layout	""			(1270, 66)	(44, 35)
label		Slide 1 of 4 (3)			(76, 1036)	(86, 18)
label		Title Slide			(674, 1036)	(370, 18)
label		24.96 / 4.04 0.00 x 0.00			(1050, 1036)	(210, 18)
label		English (USA)			(1317, 1036)	(388, 18)
label		118%			(1876, 1036)	(38, 18)
