Log not found for this step.tag	name	text	class	description	position (top-left x&y)	size (w&h)
document-spreadsheet	file:///home/user/NetIncome.xlsx - LibreOffice Spreadsheets	""			(111, 201)	(1738, 796)
table-cell	A1	Revenue			(111, 201)	(108, 18)
table-cell	B1	Total Expenses			(219, 201)	(126, 18)
table-cell	C1	""			(345, 201)	(77, 18)
table-cell	D1	""			(422, 201)	(77, 18)
table-cell	E1	""			(499, 201)	(77, 18)
table-cell	F1	""			(576, 201)	(77, 18)
table-cell	G1	""			(653, 201)	(77, 18)
table-cell	H1	""			(730, 201)	(77, 18)
table-cell	I1	""			(807, 201)	(77, 18)
table-cell	J1	""			(884, 201)	(77, 18)
table-cell	K1	""			(961, 201)	(77, 18)
table-cell	L1	""			(1038, 201)	(77, 18)
table-cell	M1	""			(1115, 201)	(77, 18)
table-cell	N1	""			(1192, 201)	(77, 18)
table-cell	O1	""			(1269, 201)	(77, 18)
table-cell	P1	""			(1346, 201)	(77, 18)
table-cell	Q1	""			(1423, 201)	(77, 18)
table-cell	R1	""			(1500, 201)	(77, 18)
table-cell	S1	""			(1577, 201)	(77, 18)
table-cell	T1	""			(1654, 201)	(77, 18)
table-cell	U1	""			(1731, 201)	(77, 18)
table-cell	V1	""			(1808, 201)	(41, 18)
table-cell	A2	39929			(111, 219)	(108, 18)
table-cell	B2	10828			(219, 219)	(126, 18)
table-cell	C2	""			(345, 219)	(77, 18)
table-cell	D2	""			(422, 219)	(77, 18)
table-cell	E2	""			(499, 219)	(77, 18)
table-cell	F2	""			(576, 219)	(77, 18)
table-cell	G2	""			(653, 219)	(77, 18)
table-cell	H2	""			(730, 219)	(77, 18)
table-cell	I2	""			(807, 219)	(77, 18)
table-cell	J2	""			(884, 219)	(77, 18)
table-cell	K2	""			(961, 219)	(77, 18)
table-cell	L2	""			(1038, 219)	(77, 18)
table-cell	M2	""			(1115, 219)	(77, 18)
table-cell	N2	""			(1192, 219)	(77, 18)
table-cell	O2	""			(1269, 219)	(77, 18)
table-cell	P2	""			(1346, 219)	(77, 18)
table-cell	Q2	""			(1423, 219)	(77, 18)
table-cell	R2	""			(1500, 219)	(77, 18)
table-cell	S2	""			(1577, 219)	(77, 18)
table-cell	T2	""			(1654, 219)	(77, 18)
table-cell	U2	""			(1731, 219)	(77, 18)
table-cell	V2	""			(1808, 219)	(41, 18)
table-cell	A3	55389			(111, 237)	(108, 18)
table-cell	B3	14977			(219, 237)	(126, 18)
table-cell	C3	""			(345, 237)	(77, 18)
table-cell	D3	""			(422, 237)	(77, 18)
table-cell	E3	""			(499, 237)	(77, 18)
table-cell	F3	""			(576, 237)	(77, 18)
table-cell	G3	""			(653, 237)	(77, 18)
table-cell	H3	""			(730, 237)	(77, 18)
table-cell	I3	""			(807, 237)	(77, 18)
table-cell	J3	""			(884, 237)	(77, 18)
table-cell	K3	""			(961, 237)	(77, 18)
table-cell	L3	""			(1038, 237)	(77, 18)
table-cell	M3	""			(1115, 237)	(77, 18)
table-cell	N3	""			(1192, 237)	(77, 18)
table-cell	O3	""			(1269, 237)	(77, 18)
table-cell	P3	""			(1346, 237)	(77, 18)
table-cell	Q3	""			(1423, 237)	(77, 18)
table-cell	R3	""			(1500, 237)	(77, 18)
table-cell	S3	""			(1577, 237)	(77, 18)
table-cell	T3	""			(1654, 237)	(77, 18)
table-cell	U3	""			(1731, 237)	(77, 18)
table-cell	V3	""			(1808, 237)	(41, 18)
table-cell	A4	52686			(111, 255)	(108, 18)
table-cell	B4	29650			(219, 255)	(126, 18)
table-cell	C4	""			(345, 255)	(77, 18)
table-cell	D4	""			(422, 255)	(77, 18)
table-cell	E4	""			(499, 255)	(77, 18)
table-cell	F4	""			(576, 255)	(77, 18)
table-cell	G4	""			(653, 255)	(77, 18)
table-cell	H4	""			(730, 255)	(77, 18)
table-cell	I4	""			(807, 255)	(77, 18)
table-cell	J4	""			(884, 255)	(77, 18)
table-cell	K4	""			(961, 255)	(77, 18)
table-cell	L4	""			(1038, 255)	(77, 18)
table-cell	M4	""			(1115, 255)	(77, 18)
table-cell	N4	""			(1192, 255)	(77, 18)
table-cell	O4	""			(1269, 255)	(77, 18)
table-cell	P4	""			(1346, 255)	(77, 18)
table-cell	Q4	""			(1423, 255)	(77, 18)
table-cell	R4	""			(1500, 255)	(77, 18)
table-cell	S4	""			(1577, 255)	(77, 18)
table-cell	T4	""			(1654, 255)	(77, 18)
table-cell	U4	""			(1731, 255)	(77, 18)
table-cell	V4	""			(1808, 255)	(41, 18)
table-cell	A5	49490			(111, 273)	(108, 18)
table-cell	B5	28708			(219, 273)	(126, 18)
table-cell	C5	""			(345, 273)	(77, 18)
table-cell	D5	""			(422, 273)	(77, 18)
table-cell	E5	""			(499, 273)	(77, 18)
table-cell	F5	""			(576, 273)	(77, 18)
table-cell	G5	""			(653, 273)	(77, 18)
table-cell	H5	""			(730, 273)	(77, 18)
table-cell	I5	""			(807, 273)	(77, 18)
table-cell	J5	""			(884, 273)	(77, 18)
table-cell	K5	""			(961, 273)	(77, 18)
table-cell	L5	""			(1038, 273)	(77, 18)
table-cell	M5	""			(1115, 273)	(77, 18)
table-cell	N5	""			(1192, 273)	(77, 18)
table-cell	O5	""			(1269, 273)	(77, 18)
table-cell	P5	""			(1346, 273)	(77, 18)
table-cell	Q5	""			(1423, 273)	(77, 18)
table-cell	R5	""			(1500, 273)	(77, 18)
table-cell	S5	""			(1577, 273)	(77, 18)
table-cell	T5	""			(1654, 273)	(77, 18)
table-cell	U5	""			(1731, 273)	(77, 18)
table-cell	V5	""			(1808, 273)	(41, 18)
table-cell	A6	38279			(111, 291)	(108, 18)
table-cell	B6	10990			(219, 291)	(126, 18)
table-cell	C6	""			(345, 291)	(77, 18)
table-cell	D6	""			(422, 291)	(77, 18)
table-cell	E6	""			(499, 291)	(77, 18)
table-cell	F6	""			(576, 291)	(77, 18)
table-cell	G6	""			(653, 291)	(77, 18)
table-cell	H6	""			(730, 291)	(77, 18)
table-cell	I6	""			(807, 291)	(77, 18)
table-cell	J6	""			(884, 291)	(77, 18)
table-cell	K6	""			(961, 291)	(77, 18)
table-cell	L6	""			(1038, 291)	(77, 18)
table-cell	M6	""			(1115, 291)	(77, 18)
table-cell	N6	""			(1192, 291)	(77, 18)
table-cell	O6	""			(1269, 291)	(77, 18)
table-cell	P6	""			(1346, 291)	(77, 18)
table-cell	Q6	""			(1423, 291)	(77, 18)
table-cell	R6	""			(1500, 291)	(77, 18)
table-cell	S6	""			(1577, 291)	(77, 18)
table-cell	T6	""			(1654, 291)	(77, 18)
table-cell	U6	""			(1731, 291)	(77, 18)
table-cell	V6	""			(1808, 291)	(41, 18)
table-cell	A7	30002			(111, 309)	(108, 18)
table-cell	B7	22022			(219, 309)	(126, 18)
table-cell	C7	""			(345, 309)	(77, 18)
table-cell	D7	""			(422, 309)	(77, 18)
table-cell	E7	""			(499, 309)	(77, 18)
table-cell	F7	""			(576, 309)	(77, 18)
table-cell	G7	""			(653, 309)	(77, 18)
table-cell	H7	""			(730, 309)	(77, 18)
table-cell	I7	""			(807, 309)	(77, 18)
table-cell	J7	""			(884, 309)	(77, 18)
table-cell	K7	""			(961, 309)	(77, 18)
table-cell	L7	""			(1038, 309)	(77, 18)
table-cell	M7	""			(1115, 309)	(77, 18)
table-cell	N7	""			(1192, 309)	(77, 18)
table-cell	O7	""			(1269, 309)	(77, 18)
table-cell	P7	""			(1346, 309)	(77, 18)
table-cell	Q7	""			(1423, 309)	(77, 18)
table-cell	R7	""			(1500, 309)	(77, 18)
table-cell	S7	""			(1577, 309)	(77, 18)
table-cell	T7	""			(1654, 309)	(77, 18)
table-cell	U7	""			(1731, 309)	(77, 18)
table-cell	V7	""			(1808, 309)	(41, 18)
table-cell	A8	56315			(111, 327)	(108, 18)
table-cell	B8	29700			(219, 327)	(126, 18)
table-cell	C8	""			(345, 327)	(77, 18)
table-cell	D8	""			(422, 327)	(77, 18)
table-cell	E8	""			(499, 327)	(77, 18)
table-cell	F8	""			(576, 327)	(77, 18)
table-cell	G8	""			(653, 327)	(77, 18)
table-cell	H8	""			(730, 327)	(77, 18)
table-cell	I8	""			(807, 327)	(77, 18)
table-cell	J8	""			(884, 327)	(77, 18)
table-cell	K8	""			(961, 327)	(77, 18)
table-cell	L8	""			(1038, 327)	(77, 18)
table-cell	M8	""			(1115, 327)	(77, 18)
table-cell	N8	""			(1192, 327)	(77, 18)
table-cell	O8	""			(1269, 327)	(77, 18)
table-cell	P8	""			(1346, 327)	(77, 18)
table-cell	Q8	""			(1423, 327)	(77, 18)
table-cell	R8	""			(1500, 327)	(77, 18)
table-cell	S8	""			(1577, 327)	(77, 18)
table-cell	T8	""			(1654, 327)	(77, 18)
table-cell	U8	""			(1731, 327)	(77, 18)
table-cell	V8	""			(1808, 327)	(41, 18)
table-cell	A9	54870			(111, 345)	(108, 18)
table-cell	B9	23324			(219, 345)	(126, 18)
table-cell	C9	""			(345, 345)	(77, 18)
table-cell	D9	""			(422, 345)	(77, 18)
table-cell	E9	""			(499, 345)	(77, 18)
table-cell	F9	""			(576, 345)	(77, 18)
table-cell	G9	""			(653, 345)	(77, 18)
table-cell	H9	""			(730, 345)	(77, 18)
table-cell	I9	""			(807, 345)	(77, 18)
table-cell	J9	""			(884, 345)	(77, 18)
table-cell	K9	""			(961, 345)	(77, 18)
table-cell	L9	""			(1038, 345)	(77, 18)
table-cell	M9	""			(1115, 345)	(77, 18)
table-cell	N9	""			(1192, 345)	(77, 18)
table-cell	O9	""			(1269, 345)	(77, 18)
table-cell	P9	""			(1346, 345)	(77, 18)
table-cell	Q9	""			(1423, 345)	(77, 18)
table-cell	R9	""			(1500, 345)	(77, 18)
table-cell	S9	""			(1577, 345)	(77, 18)
table-cell	T9	""			(1654, 345)	(77, 18)
table-cell	U9	""			(1731, 345)	(77, 18)
table-cell	V9	""			(1808, 345)	(41, 18)
table-cell	A10	39465			(111, 363)	(108, 18)
table-cell	B10	24834			(219, 363)	(126, 18)
table-cell	C10	""			(345, 363)	(77, 18)
table-cell	D10	""			(422, 363)	(77, 18)
table-cell	E10	""			(499, 363)	(77, 18)
table-cell	F10	""			(576, 363)	(77, 18)
table-cell	G10	""			(653, 363)	(77, 18)
table-cell	H10	""			(730, 363)	(77, 18)
table-cell	I10	""			(807, 363)	(77, 18)
table-cell	J10	""			(884, 363)	(77, 18)
table-cell	K10	""			(961, 363)	(77, 18)
table-cell	L10	""			(1038, 363)	(77, 18)
table-cell	M10	""			(1115, 363)	(77, 18)
table-cell	N10	""			(1192, 363)	(77, 18)
table-cell	O10	""			(1269, 363)	(77, 18)
table-cell	P10	""			(1346, 363)	(77, 18)
table-cell	Q10	""			(1423, 363)	(77, 18)
table-cell	R10	""			(1500, 363)	(77, 18)
table-cell	S10	""			(1577, 363)	(77, 18)
table-cell	T10	""			(1654, 363)	(77, 18)
table-cell	U10	""			(1731, 363)	(77, 18)
table-cell	V10	""			(1808, 363)	(41, 18)
table-cell	A11	26176			(111, 381)	(108, 18)
table-cell	B11	24207			(219, 381)	(126, 18)
table-cell	C11	""			(345, 381)	(77, 18)
table-cell	D11	""			(422, 381)	(77, 18)
table-cell	E11	""			(499, 381)	(77, 18)
table-cell	F11	""			(576, 381)	(77, 18)
table-cell	G11	""			(653, 381)	(77, 18)
table-cell	H11	""			(730, 381)	(77, 18)
table-cell	I11	""			(807, 381)	(77, 18)
table-cell	J11	""			(884, 381)	(77, 18)
table-cell	K11	""			(961, 381)	(77, 18)
table-cell	L11	""			(1038, 381)	(77, 18)
table-cell	M11	""			(1115, 381)	(77, 18)
table-cell	N11	""			(1192, 381)	(77, 18)
table-cell	O11	""			(1269, 381)	(77, 18)
table-cell	P11	""			(1346, 381)	(77, 18)
table-cell	Q11	""			(1423, 381)	(77, 18)
table-cell	R11	""			(1500, 381)	(77, 18)
table-cell	S11	""			(1577, 381)	(77, 18)
table-cell	T11	""			(1654, 381)	(77, 18)
table-cell	U11	""			(1731, 381)	(77, 18)
table-cell	V11	""			(1808, 381)	(41, 18)
table-cell	A12	32121			(111, 399)	(108, 18)
table-cell	B12	24773			(219, 399)	(126, 18)
table-cell	C12	""			(345, 399)	(77, 18)
table-cell	D12	""			(422, 399)	(77, 18)
table-cell	E12	""			(499, 399)	(77, 18)
table-cell	F12	""			(576, 399)	(77, 18)
table-cell	G12	""			(653, 399)	(77, 18)
table-cell	H12	""			(730, 399)	(77, 18)
table-cell	I12	""			(807, 399)	(77, 18)
table-cell	J12	""			(884, 399)	(77, 18)
table-cell	K12	""			(961, 399)	(77, 18)
table-cell	L12	""			(1038, 399)	(77, 18)
table-cell	M12	""			(1115, 399)	(77, 18)
table-cell	N12	""			(1192, 399)	(77, 18)
table-cell	O12	""			(1269, 399)	(77, 18)
table-cell	P12	""			(1346, 399)	(77, 18)
table-cell	Q12	""			(1423, 399)	(77, 18)
table-cell	R12	""			(1500, 399)	(77, 18)
table-cell	S12	""			(1577, 399)	(77, 18)
table-cell	T12	""			(1654, 399)	(77, 18)
table-cell	U12	""			(1731, 399)	(77, 18)
table-cell	V12	""			(1808, 399)	(41, 18)
table-cell	A13	59875			(111, 417)	(108, 18)
table-cell	B13	25871			(219, 417)	(126, 18)
table-cell	C13	""			(345, 417)	(77, 18)
table-cell	D13	""			(422, 417)	(77, 18)
table-cell	E13	""			(499, 417)	(77, 18)
table-cell	F13	""			(576, 417)	(77, 18)
table-cell	G13	""			(653, 417)	(77, 18)
table-cell	H13	""			(730, 417)	(77, 18)
table-cell	I13	""			(807, 417)	(77, 18)
table-cell	J13	""			(884, 417)	(77, 18)
table-cell	K13	""			(961, 417)	(77, 18)
table-cell	L13	""			(1038, 417)	(77, 18)
table-cell	M13	""			(1115, 417)	(77, 18)
table-cell	N13	""			(1192, 417)	(77, 18)
table-cell	O13	""			(1269, 417)	(77, 18)
table-cell	P13	""			(1346, 417)	(77, 18)
table-cell	Q13	""			(1423, 417)	(77, 18)
table-cell	R13	""			(1500, 417)	(77, 18)
table-cell	S13	""			(1577, 417)	(77, 18)
table-cell	T13	""			(1654, 417)	(77, 18)
table-cell	U13	""			(1731, 417)	(77, 18)
table-cell	V13	""			(1808, 417)	(41, 18)
table-cell	A14	42235			(111, 435)	(108, 18)
table-cell	B14	22797			(219, 435)	(126, 18)
table-cell	C14	""			(345, 435)	(77, 18)
table-cell	D14	""			(422, 435)	(77, 18)
table-cell	E14	""			(499, 435)	(77, 18)
table-cell	F14	""			(576, 435)	(77, 18)
table-cell	G14	""			(653, 435)	(77, 18)
table-cell	H14	""			(730, 435)	(77, 18)
table-cell	I14	""			(807, 435)	(77, 18)
table-cell	J14	""			(884, 435)	(77, 18)
table-cell	K14	""			(961, 435)	(77, 18)
table-cell	L14	""			(1038, 435)	(77, 18)
table-cell	M14	""			(1115, 435)	(77, 18)
table-cell	N14	""			(1192, 435)	(77, 18)
table-cell	O14	""			(1269, 435)	(77, 18)
table-cell	P14	""			(1346, 435)	(77, 18)
table-cell	Q14	""			(1423, 435)	(77, 18)
table-cell	R14	""			(1500, 435)	(77, 18)
table-cell	S14	""			(1577, 435)	(77, 18)
table-cell	T14	""			(1654, 435)	(77, 18)
table-cell	U14	""			(1731, 435)	(77, 18)
table-cell	V14	""			(1808, 435)	(41, 18)
table-cell	A15	55101			(111, 453)	(108, 18)
table-cell	B15	29775			(219, 453)	(126, 18)
table-cell	C15	""			(345, 453)	(77, 18)
table-cell	D15	""			(422, 453)	(77, 18)
table-cell	E15	""			(499, 453)	(77, 18)
table-cell	F15	""			(576, 453)	(77, 18)
table-cell	G15	""			(653, 453)	(77, 18)
table-cell	H15	""			(730, 453)	(77, 18)
table-cell	I15	""			(807, 453)	(77, 18)
table-cell	J15	""			(884, 453)	(77, 18)
table-cell	K15	""			(961, 453)	(77, 18)
table-cell	L15	""			(1038, 453)	(77, 18)
table-cell	M15	""			(1115, 453)	(77, 18)
table-cell	N15	""			(1192, 453)	(77, 18)
table-cell	O15	""			(1269, 453)	(77, 18)
table-cell	P15	""			(1346, 453)	(77, 18)
table-cell	Q15	""			(1423, 453)	(77, 18)
table-cell	R15	""			(1500, 453)	(77, 18)
table-cell	S15	""			(1577, 453)	(77, 18)
table-cell	T15	""			(1654, 453)	(77, 18)
table-cell	U15	""			(1731, 453)	(77, 18)
table-cell	V15	""			(1808, 453)	(41, 18)
table-cell	A16	35972			(111, 471)	(108, 18)
table-cell	B16	20109			(219, 471)	(126, 18)
table-cell	C16	""			(345, 471)	(77, 18)
table-cell	D16	""			(422, 471)	(77, 18)
table-cell	E16	""			(499, 471)	(77, 18)
table-cell	F16	""			(576, 471)	(77, 18)
table-cell	G16	""			(653, 471)	(77, 18)
table-cell	H16	""			(730, 471)	(77, 18)
table-cell	I16	""			(807, 471)	(77, 18)
table-cell	J16	""			(884, 471)	(77, 18)
table-cell	K16	""			(961, 471)	(77, 18)
table-cell	L16	""			(1038, 471)	(77, 18)
table-cell	M16	""			(1115, 471)	(77, 18)
table-cell	N16	""			(1192, 471)	(77, 18)
table-cell	O16	""			(1269, 471)	(77, 18)
table-cell	P16	""			(1346, 471)	(77, 18)
table-cell	Q16	""			(1423, 471)	(77, 18)
table-cell	R16	""			(1500, 471)	(77, 18)
table-cell	S16	""			(1577, 471)	(77, 18)
table-cell	T16	""			(1654, 471)	(77, 18)
table-cell	U16	""			(1731, 471)	(77, 18)
table-cell	V16	""			(1808, 471)	(41, 18)
table-cell	A17	51922			(111, 489)	(108, 18)
table-cell	B17	12614			(219, 489)	(126, 18)
table-cell	C17	""			(345, 489)	(77, 18)
table-cell	D17	""			(422, 489)	(77, 18)
table-cell	E17	""			(499, 489)	(77, 18)
table-cell	F17	""			(576, 489)	(77, 18)
table-cell	G17	""			(653, 489)	(77, 18)
table-cell	H17	""			(730, 489)	(77, 18)
table-cell	I17	""			(807, 489)	(77, 18)
table-cell	J17	""			(884, 489)	(77, 18)
table-cell	K17	""			(961, 489)	(77, 18)
table-cell	L17	""			(1038, 489)	(77, 18)
table-cell	M17	""			(1115, 489)	(77, 18)
table-cell	N17	""			(1192, 489)	(77, 18)
table-cell	O17	""			(1269, 489)	(77, 18)
table-cell	P17	""			(1346, 489)	(77, 18)
table-cell	Q17	""			(1423, 489)	(77, 18)
table-cell	R17	""			(1500, 489)	(77, 18)
table-cell	S17	""			(1577, 489)	(77, 18)
table-cell	T17	""			(1654, 489)	(77, 18)
table-cell	U17	""			(1731, 489)	(77, 18)
table-cell	V17	""			(1808, 489)	(41, 18)
table-cell	A18	42471			(111, 507)	(108, 18)
table-cell	B18	14555			(219, 507)	(126, 18)
table-cell	C18	""			(345, 507)	(77, 18)
table-cell	D18	""			(422, 507)	(77, 18)
table-cell	E18	""			(499, 507)	(77, 18)
table-cell	F18	""			(576, 507)	(77, 18)
table-cell	G18	""			(653, 507)	(77, 18)
table-cell	H18	""			(730, 507)	(77, 18)
table-cell	I18	""			(807, 507)	(77, 18)
table-cell	J18	""			(884, 507)	(77, 18)
table-cell	K18	""			(961, 507)	(77, 18)
table-cell	L18	""			(1038, 507)	(77, 18)
table-cell	M18	""			(1115, 507)	(77, 18)
table-cell	N18	""			(1192, 507)	(77, 18)
table-cell	O18	""			(1269, 507)	(77, 18)
table-cell	P18	""			(1346, 507)	(77, 18)
table-cell	Q18	""			(1423, 507)	(77, 18)
table-cell	R18	""			(1500, 507)	(77, 18)
table-cell	S18	""			(1577, 507)	(77, 18)
table-cell	T18	""			(1654, 507)	(77, 18)
table-cell	U18	""			(1731, 507)	(77, 18)
table-cell	V18	""			(1808, 507)	(41, 18)
table-cell	A19	46706			(111, 525)	(108, 18)
table-cell	B19	16246			(219, 525)	(126, 18)
table-cell	C19	""			(345, 525)	(77, 18)
table-cell	D19	""			(422, 525)	(77, 18)
table-cell	E19	""			(499, 525)	(77, 18)
table-cell	F19	""			(576, 525)	(77, 18)
table-cell	G19	""			(653, 525)	(77, 18)
table-cell	H19	""			(730, 525)	(77, 18)
table-cell	I19	""			(807, 525)	(77, 18)
table-cell	J19	""			(884, 525)	(77, 18)
table-cell	K19	""			(961, 525)	(77, 18)
table-cell	L19	""			(1038, 525)	(77, 18)
table-cell	M19	""			(1115, 525)	(77, 18)
table-cell	N19	""			(1192, 525)	(77, 18)
table-cell	O19	""			(1269, 525)	(77, 18)
table-cell	P19	""			(1346, 525)	(77, 18)
table-cell	Q19	""			(1423, 525)	(77, 18)
table-cell	R19	""			(1500, 525)	(77, 18)
table-cell	S19	""			(1577, 525)	(77, 18)
table-cell	T19	""			(1654, 525)	(77, 18)
table-cell	U19	""			(1731, 525)	(77, 18)
table-cell	V19	""			(1808, 525)	(41, 18)
table-cell	A20	58782			(111, 543)	(108, 18)
table-cell	B20	25706			(219, 543)	(126, 18)
table-cell	C20	""			(345, 543)	(77, 18)
table-cell	D20	""			(422, 543)	(77, 18)
table-cell	E20	""			(499, 543)	(77, 18)
table-cell	F20	""			(576, 543)	(77, 18)
table-cell	G20	""			(653, 543)	(77, 18)
table-cell	H20	""			(730, 543)	(77, 18)
table-cell	I20	""			(807, 543)	(77, 18)
table-cell	J20	""			(884, 543)	(77, 18)
table-cell	K20	""			(961, 543)	(77, 18)
table-cell	L20	""			(1038, 543)	(77, 18)
table-cell	M20	""			(1115, 543)	(77, 18)
table-cell	N20	""			(1192, 543)	(77, 18)
table-cell	O20	""			(1269, 543)	(77, 18)
table-cell	P20	""			(1346, 543)	(77, 18)
table-cell	Q20	""			(1423, 543)	(77, 18)
table-cell	R20	""			(1500, 543)	(77, 18)
table-cell	S20	""			(1577, 543)	(77, 18)
table-cell	T20	""			(1654, 543)	(77, 18)
table-cell	U20	""			(1731, 543)	(77, 18)
table-cell	V20	""			(1808, 543)	(41, 18)
table-cell	A21	""			(111, 561)	(108, 18)
table-cell	B21	""			(219, 561)	(126, 18)
table-cell	C21	""			(345, 561)	(77, 18)
table-cell	D21	""			(422, 561)	(77, 18)
table-cell	E21	""			(499, 561)	(77, 18)
table-cell	F21	""			(576, 561)	(77, 18)
table-cell	G21	""			(653, 561)	(77, 18)
table-cell	H21	""			(730, 561)	(77, 18)
table-cell	I21	""			(807, 561)	(77, 18)
table-cell	J21	""			(884, 561)	(77, 18)
table-cell	K21	""			(961, 561)	(77, 18)
table-cell	L21	""			(1038, 561)	(77, 18)
table-cell	M21	""			(1115, 561)	(77, 18)
table-cell	N21	""			(1192, 561)	(77, 18)
table-cell	O21	""			(1269, 561)	(77, 18)
table-cell	P21	""			(1346, 561)	(77, 18)
table-cell	Q21	""			(1423, 561)	(77, 18)
table-cell	R21	""			(1500, 561)	(77, 18)
table-cell	S21	""			(1577, 561)	(77, 18)
table-cell	T21	""			(1654, 561)	(77, 18)
table-cell	U21	""			(1731, 561)	(77, 18)
table-cell	V21	""			(1808, 561)	(41, 18)
table-cell	A22	""			(111, 579)	(108, 18)
table-cell	B22	""			(219, 579)	(126, 18)
table-cell	C22	""			(345, 579)	(77, 18)
table-cell	D22	""			(422, 579)	(77, 18)
table-cell	E22	""			(499, 579)	(77, 18)
table-cell	F22	""			(576, 579)	(77, 18)
table-cell	G22	""			(653, 579)	(77, 18)
table-cell	H22	""			(730, 579)	(77, 18)
table-cell	I22	""			(807, 579)	(77, 18)
table-cell	J22	""			(884, 579)	(77, 18)
table-cell	K22	""			(961, 579)	(77, 18)
table-cell	L22	""			(1038, 579)	(77, 18)
table-cell	M22	""			(1115, 579)	(77, 18)
table-cell	N22	""			(1192, 579)	(77, 18)
table-cell	O22	""			(1269, 579)	(77, 18)
table-cell	P22	""			(1346, 579)	(77, 18)
table-cell	Q22	""			(1423, 579)	(77, 18)
table-cell	R22	""			(1500, 579)	(77, 18)
table-cell	S22	""			(1577, 579)	(77, 18)
table-cell	T22	""			(1654, 579)	(77, 18)
table-cell	U22	""			(1731, 579)	(77, 18)
table-cell	V22	""			(1808, 579)	(41, 18)
table-cell	A23	""			(111, 597)	(108, 18)
table-cell	B23	""			(219, 597)	(126, 18)
table-cell	C23	""			(345, 597)	(77, 18)
table-cell	D23	""			(422, 597)	(77, 18)
table-cell	E23	""			(499, 597)	(77, 18)
table-cell	F23	""			(576, 597)	(77, 18)
table-cell	G23	""			(653, 597)	(77, 18)
table-cell	H23	""			(730, 597)	(77, 18)
table-cell	I23	""			(807, 597)	(77, 18)
table-cell	J23	""			(884, 597)	(77, 18)
table-cell	K23	""			(961, 597)	(77, 18)
table-cell	L23	""			(1038, 597)	(77, 18)
table-cell	M23	""			(1115, 597)	(77, 18)
table-cell	N23	""			(1192, 597)	(77, 18)
table-cell	O23	""			(1269, 597)	(77, 18)
table-cell	P23	""			(1346, 597)	(77, 18)
table-cell	Q23	""			(1423, 597)	(77, 18)
table-cell	R23	""			(1500, 597)	(77, 18)
table-cell	S23	""			(1577, 597)	(77, 18)
table-cell	T23	""			(1654, 597)	(77, 18)
table-cell	U23	""			(1731, 597)	(77, 18)
table-cell	V23	""			(1808, 597)	(41, 18)
table-cell	A24	""			(111, 615)	(108, 18)
table-cell	B24	""			(219, 615)	(126, 18)
table-cell	C24	""			(345, 615)	(77, 18)
table-cell	D24	""			(422, 615)	(77, 18)
table-cell	E24	""			(499, 615)	(77, 18)
table-cell	F24	""			(576, 615)	(77, 18)
table-cell	G24	""			(653, 615)	(77, 18)
table-cell	H24	""			(730, 615)	(77, 18)
table-cell	I24	""			(807, 615)	(77, 18)
table-cell	J24	""			(884, 615)	(77, 18)
table-cell	K24	""			(961, 615)	(77, 18)
table-cell	L24	""			(1038, 615)	(77, 18)
table-cell	M24	""			(1115, 615)	(77, 18)
table-cell	N24	""			(1192, 615)	(77, 18)
table-cell	O24	""			(1269, 615)	(77, 18)
table-cell	P24	""			(1346, 615)	(77, 18)
