tag	name	text	class	description	position (top-left x&y)	size (w&h)
toggle-button	Image	""			(1520, 231)	(350, 17)
spin-button	Transparency	0%			(1626, 366)	(238, 34)
label	Transparency:	Transparency:			(1526, 366)	(94, 34)
label	Color mode:	Color mode:			(1526, 255)	(94, 34)
spin-button	Contrast	0%			(1626, 329)	(238, 34)
label	Contrast:	Contrast:			(1526, 329)	(94, 34)
spin-button	Brightness	0%			(1626, 292)	(238, 34)
label	Brightness:	Brightness:			(1526, 292)	(94, 34)
toggle-button	Area	""			(1520, 407)	(326, 17)
toggle-button	Line	""			(1520, 426)	(326, 17)
label	Line:	Line:			(1526, 450)	(94, 42)
push-button	Line Style	""			(1740, 454)	(102, 34)
toggle-button	Menu	""			(1842, 454)	(18, 34)
spin-button	Transparency	0%			(1626, 585)	(238, 34)
toggle-button	Effect	""			(1520, 626)	(350, 17)
toggle-button	Shadow	""			(1520, 645)	(326, 17)
toggle-button	Position and Size	""			(1520, 664)	(326, 17)
toggle-button	Columns	""			(1520, 683)	(350, 17)
push-button	Select	""			(74, 130)	(33, 35)
push-button	Zoom & Pan	""			(107, 130)	(33, 35)
push-button	Line Color	""			(148, 130)	(44, 35)
push-button	Fill Color	""			(192, 130)	(44, 35)
push-button	Line	""			(244, 130)	(33, 35)
push-button	Rectangle	""			(277, 130)	(33, 35)
push-button	Ellipse	""			(310, 130)	(33, 35)
push-button	Lines and Arrows	""			(351, 130)	(44, 35)
push-button	Curves and Polygons	""			(395, 130)	(44, 35)
push-button	Connectors	""			(439, 130)	(44, 35)
push-button	Basic Shapes	""			(491, 130)	(44, 35)
push-button	Symbol Shapes	""			(535, 130)	(44, 35)
push-button	Arrow Shapes	""			(579, 130)	(44, 35)
push-button	Flowchart Shapes	""			(623, 130)	(44, 35)
push-button	Callout Shapes	""			(667, 130)	(44, 35)
push-button	Star Shapes	""			(711, 130)	(44, 35)
push-button	3D Objects	""			(755, 130)	(44, 35)
push-button	Rotate	""			(807, 130)	(33, 35)
push-button	Align Objects	""			(840, 130)	(44, 35)
push-button	Arrange	""			(884, 130)	(44, 35)
push-button	Distribution	""			(928, 130)	(44, 35)
toggle-button	Shadow	""			(980, 130)	(33, 35)
push-button	Crop	""			(1013, 130)	(33, 35)
push-button	Filter	""			(1046, 130)	(44, 35)
push-button	Edit Points	""			(1098, 130)	(33, 35)
push-button	Gluepoints	""			(1131, 130)	(33, 35)
push-button	New	""			(74, 91)	(44, 35)
push-button	Open	""			(118, 91)	(44, 35)
push-button	Save	""			(162, 91)	(44, 35)
push-button	Export Directly as PDF	""			(214, 91)	(33, 35)
push-button	Print	""			(247, 91)	(33, 35)
push-button	Cut	""			(288, 91)	(33, 35)
push-button	Copy	""			(321, 91)	(33, 35)
push-button	Clone	""			(406, 91)	(33, 35)
toggle-button	Find and Replace	""			(543, 91)	(33, 35)
push-button	Spelling	""			(576, 91)	(33, 35)
toggle-button	Grid	""			(617, 91)	(33, 35)
push-button	Display Views	""			(650, 87)	(52, 43)
push-button	Master Slide	""			(702, 91)	(33, 35)
push-button	Start from First Slide	""			(743, 91)	(33, 35)
push-button	Start from Current Slide	""			(776, 91)	(33, 35)
push-button	Table	""			(817, 91)	(44, 35)
push-button	Image	""			(861, 91)	(33, 35)
push-button	Media	""			(894, 91)	(33, 35)
push-button	Chart	""			(927, 91)	(33, 35)
push-button	Text Box	""			(968, 91)	(33, 35)
toggle-button	Insert Fontwork	""			(1045, 91)	(33, 35)
toggle-button	Hyperlink	""			(1078, 91)	(33, 35)
toggle-button	Draw Functions	""			(1111, 91)	(33, 35)
push-button	New Slide	""			(1152, 91)	(44, 35)
push-button	Duplicate Slide	""			(1196, 91)	(33, 35)
push-button	Delete Slide	""			(1229, 91)	(33, 35)
push-button	Slide Layout	""			(1270, 91)	(44, 35)
label		Slide 1 of 4 (3)			(76, 1061)	(86, 18)
label		Image with transparency 'Picture 2' selected			(168, 1061)	(540, 18)
label		Title Slide			(714, 1061)	(350, 18)
label		2.59 / 0.43 8.84 x 15.36			(1070, 1061)	(210, 18)
label		English (USA)			(1337, 1061)	(368, 18)
label		118%			(1876, 1061)	(38, 18)
